stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,1.64,0,0,1.64,21.34,0,0.82,0,0,0,0,0.82,6.57,0,0,0,0
 36-46,0,0,0,0,0,0,3.22,0,0,0,1.61,0,0,0,0,0,0,0,6.45,0,0,0.81,63.65,0,0.81,0,0,0,0,0,6.45,0,0,0,0.81
 48-58,0,0,0,0.57,0,0,8.61,0,0,0.57,3.44,0,0.57,0,0,0,0.57,0,9.75,0,0,0.57,65.41,0,0.57,0,0,0.57,0,0,14.35,0,0.57,0,0
 60-70,0,0,0,0.98,0,0,46.13,0,0,0,11.78,0,0,0,0,0,0,0,31.41,0,0,0,100.12,0,0,0,0,0.98,0,0,22.58,0,0.98,0,0
 72-82,0,0,0.98,0.98,0,0,139.4,0,0,0,23.56,0,0,5.89,0,0.98,0,0,46.14,0,0.98,0.98,95.22,0,0.98,0,0,0,0.98,0,11.78,0,1.96,0,0
 84-94,0,0,0,0,1.06,0,98.77,0,0,0,12.74,0,0,0,1.06,0,0,0,29.74,1.06,0,1.06,43.54,1.06,1.06,1.06,0,0,0,0,11.68,1.06,1.06,0,0
 96-106,0,0,1.09,2.19,0,0,110.38,0,0,1.09,20.76,2.19,0,0,0,0,0,1.09,36.06,1.09,0,0,49.18,0,1.09,1.09,0,0,0,0,5.46,0,2.19,1.09,0
108-118,0,0,0,2.3,0,1.53,86.55,0,0.77,1.53,13.79,0,0,0.77,0.77,0,0,0,32.17,0,0,0.77,54.38,0.77,0.77,2.3,0,1.53,0.77,0,2.3,1.53,0.77,0.77,0
120,0,0,0,3.92,0,0,68.59,1.96,0,0,9.8,0,0,0,0,0,0,0,25.48,0,0,1.96,33.32,0,1.96,0,0,0,0,0,1.96,0,0,0,0
