stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,566.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,655.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,12.26,30.65,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,7.89,0,13.14,0,0,34.17,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,270.76,7.89,0,0,113.03,5.26,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,25.18,0,3.15,37.76,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,248.61,15.73,0,0,107,0,0,0,6.29,0,6.29,0,0,0,0,0
 14-21,0,0,0,4,13,5,6,0,0,0,1,2,1,0,0,0,0,1,0,0,8,0,0,8,94,2,1,0,2,3,0,17,0,0,19,30,0,0,0,0
 24-34,0.82,0,0,0,4.1,0.82,9.85,0,0,0,0.82,0.82,0,0,0,0,0,0.82,0.82,1.64,13.95,0.82,0,4.1,120.67,2.46,1.64,0,0,3.28,0,0,1.64,0,2.46,27.91,0,2.46,0,0
 36-46,0,0,0,0.81,1.61,0,16.11,0,0,0,3.22,0,0,0,0,0,0,0,0,0,20.95,0.81,0,1.61,113.6,0,1.61,0.81,0,0.81,0,0,0,0,0,20.14,0,3.22,0,0.81
 48-58,0,0,0,0,0.57,0,34.43,0,0,0.57,6.31,0,0,0,0.57,0,0,0,0,0,14.92,0,0,2.87,77.46,0,0.57,0,0,1.15,0,0,0.57,0,0,14.92,0.57,1.15,0,0.57
 60-70,0,0,0,0,0.98,0,28.46,0,0,0,3.93,0,0,0.98,0,0,0,0,0,0,15.7,0,0.98,1.96,51.04,1.96,0,0,0,3.93,0,0,0.98,0,0,5.89,0,0,0,0.98
 72-82,0,0,0,0,3.93,1.96,36.32,0,0,0.98,7.85,0.98,0,0,1.96,0,0,1.96,0,0,24.54,0,0,2.94,61.84,0,0,0,0,2.94,0,0,0,0.98,0,8.83,0.98,1.96,0,0
 84-94,0,0,0,1.06,4.25,3.19,27.61,0,2.12,1.06,5.31,1.06,0,1.06,4.25,1.06,0,0,0,1.06,15.93,0,0,1.06,37.17,0,0,2.12,0,12.74,0,0,0,0,0,3.19,2.12,1.06,1.06,0
 96-106,0,0,1.09,0,4.37,6.56,20.76,1.09,1.09,1.09,6.56,1.09,0,0,0,0,0,2.19,0,0,29.51,0,1.09,3.28,44.81,1.09,0,3.28,0,6.56,0,0,0,1.09,0,1.09,2.19,3.28,3.28,0
108-118,0,0,0.77,0,7.66,2.3,12.26,0,0.77,0.77,7.66,0,0,0,1.53,0,0.77,0,0,0,25.28,1.53,0,0.77,42.89,0,0,0.77,0,13.02,0,0,0,0,0,0.77,0,1.53,0.77,1.53
120,0,0,0,0,0,1.96,17.64,0,3.92,1.96,9.8,1.96,0,1.96,5.88,1.96,0,0,1.96,0,23.52,0,1.96,0,33.32,1.96,0,1.96,0,17.64,0,0,0,0,0,0,0,5.88,0,0
