stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,26.36,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,18.4,0,0,0,0,2.63,0,0,0,0,0,0,42.06,2.63,0,0,21.03,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,22.03,0,0,0,0,6.29,0,0,0,0,0,0,50.35,0,0,0,18.88,0,0,3.15,0,0,0,0,0
 14-21,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,2,4,1,2,5,0,0
 24-34,0,0,2.46,0,1.64,0.82,0,0,0,0,0,0,0,0.82,0.82,0.82,29.55,0,0,0,0,0,0,0,0,0,4.1,0.82,0
 36-46,0,0,0,0.81,4.83,0,0,0,0,0,0,0,0,0.81,0.81,0.81,14.5,0,0,0,0,0,1.61,0,0,0,4.03,0.81,0
 48-58,0,0,0,0,5.16,0,0.57,2.3,0,0,0,0,0,0,2.3,0.57,9.75,0,0,0,0,0,0.57,0,0,0,1.72,0,0
 60-70,0,0,0,0.98,5.89,0,0,0.98,0,0,0,0,0,0,3.93,1.96,9.82,0,0,0,0,0,0,0,0,0,1.96,0,0.98
 72-82,0,0,0,0,6.87,0,0,0.98,0,0,0,0,0,0,6.87,0,8.83,0,0.98,0,0,0,1.96,0,0,0,4.91,0.98,0
 84-94,0,0,0,1.06,8.5,2.12,0,2.12,0,0,0,0,1.06,0,9.56,2.12,11.68,1.06,0,0,0,0,4.25,0,0,0,0,1.06,0
 96-106,0,0,0,0,6.56,0,0,0,0,0,2.19,1.09,0,0,3.28,0,8.74,0,0,0,0,0,3.28,0,0,0,0,1.09,0
108-118,0,0,0.77,0.77,2.3,0,0.77,3.83,1.53,0,0,0.77,0.77,0,3.83,0.77,10.72,0.77,0,0.77,0,0.77,1.53,0,0.77,0,0,0.77,0
120,0,0,3.92,0,5.88,0,0,1.96,1.96,0,1.96,0,0,0,11.76,5.88,11.76,0,0,0,0,0,3.92,0,0,0,1.96,3.92,0
