stage,erythrocytes,eye,glial,heart,mesenchyme,muscle,neural,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,3,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0.82,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0.81,0,0.81,0
 48-58,0,0,0,1.15,3.44,0.57,0,0,0.57,4.02,0
 60-70,0,0,0,0,6.87,0.98,0,0,0,0,0
 72-82,0.98,0,0.98,0,11.78,0,0,0,0,3.93,0
 84-94,1.06,0,0,0,5.31,0,0,0,0,4.25,0
 96-106,1.09,1.09,0,0,7.65,0,0,0,0,0,1.09
108-118,0,0,0,0.77,2.3,0,0.77,0,0,4.6,0
120,1.96,0,0,1.96,3.92,0,0,0,0,1.96,0
