stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,4,19,225,68,0,55,0,4,0,16,9,7,3,1,9,0,1,6,4,70,0,0,45,710,20,3,6,21,0,3,2,102,13,5,224,201,0,0,9,0,3
 24-34,0,0,4.1,80.44,14.78,0,187.16,1.64,8.21,4.1,39.4,4.1,2.46,4.1,2.46,10.67,0,7.39,5.75,5.75,111.64,0.82,0.82,57.46,1271.51,12.31,22.16,13.95,0,0.82,27.09,0,0,4.93,8.21,69.77,305.36,0,0,35.3,0,16.42
 36-46,0,0,0.81,25.78,8.86,0,290.85,4.83,3.22,13.7,50.76,1.61,0,4.83,6.45,4.83,3.22,3.22,1.61,3.22,175.64,3.22,2.42,45.92,1260.87,10.47,25.78,12.89,0,0.81,18.53,0.81,0.81,1.61,4.03,1.61,328.71,0,0,19.34,0,9.67
 48-58,0.57,0.57,1.15,21.23,10.9,0,334.53,4.59,6.31,6.89,79.76,0,1.72,5.74,6.89,1.72,4.59,2.87,2.3,1.72,186.49,2.87,9.18,45.33,651.84,2.3,8.03,8.61,0,0,8.03,0.57,0,1.15,1.72,0,160.67,0,1.15,10.9,0,12.62
 60-70,0,1.96,0,25.52,4.91,0,400.46,3.93,5.89,9.82,93.24,6.87,0.98,3.93,6.87,1.96,2.94,2.94,2.94,1.96,234.58,3.93,11.78,33.37,655.66,0,14.72,11.78,0,0,13.74,0,0,4.91,2.94,0,121.71,0,2.94,11.78,0,10.8
 72-82,0,2.94,0,34.36,29.45,1.96,251.31,4.91,1.96,11.78,103.07,9.82,0,0.98,10.8,4.91,6.87,3.93,4.91,0.98,292.54,3.93,10.8,29.45,551.69,0,17.67,22.58,0,1.96,14.72,0,0,2.94,0.98,0,52.03,6.87,5.89,17.67,8.83,6.87
 84-94,0,1.06,0,37.17,22.3,4.25,162.49,1.06,5.31,12.74,62.66,19.12,1.06,1.06,30.8,9.56,11.68,10.62,4.25,1.06,195.41,1.06,9.56,31.86,270.82,2.12,12.74,10.62,0,1.06,36.11,0,0,1.06,2.12,0,28.68,7.43,8.5,22.3,4.25,8.5
 96-106,0,4.37,0,53.55,26.23,2.19,149.72,5.46,9.84,5.46,84.15,22.95,0,7.65,33.88,13.11,8.74,12.02,6.56,2.19,168.3,3.28,4.37,29.51,293.98,5.46,24.04,15.3,0,4.37,25.14,0,0,3.28,1.09,0,13.11,8.74,6.56,30.6,6.56,9.84
108-118,0,3.06,0,47.49,18.38,5.36,126.38,3.83,3.83,6.13,62.04,12.26,0,0,24.51,4.6,6.89,9.19,13.79,0.77,124.09,0.77,5.36,27.57,301.79,2.3,8.43,19.15,0,2.3,19.15,0,0,3.06,5.36,0,9.96,8.43,2.3,17.62,1.53,9.19
120,0,3.92,0,66.63,41.16,0,96.03,5.88,9.8,13.72,68.59,21.56,0,1.96,37.24,7.84,5.88,5.88,5.88,1.96,96.03,5.88,7.84,19.6,282.21,3.92,7.84,9.8,0,1.96,35.28,0,0,7.84,1.96,0,9.8,1.96,3.92,21.56,1.96,7.84
