stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,4,0,0,0,1,18,0,0,13,6,0,0,1,0,0,0,1,1,0,0,1,0
 24-34,0.82,0,0,4.93,0.82,2.46,1.64,0,22.16,0,0,0,0.82,31.19,0,2.46,11.49,11.49,0,0,0,3.28,2.46,0,0,0.82,0,0,4.93,0
 36-46,0,0,0.81,3.22,0.81,1.61,0.81,0,19.34,0,0,0,0,29,0,16.11,1.61,15.31,0,0,0,0.81,0.81,0,0,0.81,0,0,0,0
 48-58,0,0,0,0.57,0,0.57,1.15,0,12.05,0,0,0,0,15.49,0,17.79,3.44,17.21,0,0.57,0,7.46,0,0,0,2.3,0,0,2.3,1.15
 60-70,0,0,0,0,0,4.91,2.94,0,5.89,0,0,0,0,15.7,0,16.69,0,22.58,0,0.98,0,6.87,3.93,0,0,3.93,0,0.98,0.98,0
 72-82,0,0,0,0.98,0.98,6.87,1.96,0,4.91,0,0,0,0,11.78,0,33.38,3.93,17.67,0,0,0,11.78,2.94,0,0,3.93,0,1.96,1.96,3.93
 84-94,0,0,0,2.12,0,6.37,6.37,0,6.37,0,1.06,0,0,9.56,0,35.05,1.06,13.81,0,2.12,0,7.43,2.12,0,0,1.06,0,1.06,0,5.31
 96-106,0,0,0,2.19,0,6.56,2.19,1.09,3.28,0,0,0,0,20.76,1.09,40.44,1.09,10.93,0,1.09,0,14.21,5.46,0,0,0,0,0,3.28,13.11
108-118,0,0,0,1.53,0,7.66,1.53,0.77,0.77,0.77,0,0.77,0,6.89,0,39.83,0,15.32,0.77,0,0,10.72,2.3,0,0,0,0,0,0.77,8.43
120,0,0,0,1.96,0,0,0,0,3.92,0,0,0,0,11.76,1.96,33.32,0,1.96,0,0,0,17.64,0,1.96,0,0,3.92,1.96,0,9.8
