stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,11,4,0,1,0,0,0,1,0,2,0,0,0,0,0,0,1,2,0,0,2,10,1,0,1,0,10,0,1,2,1,3,6,0,0,1,0,0
 24-34,0,0,0,0.82,3.28,1.64,0,7.39,0,0.82,0,1.64,0,0.82,1.64,0,3.28,0,0,0.82,3.28,2.46,0.82,0,0.82,26.27,2.46,0.82,0.82,0,48.43,0,0,0.82,0,0,9.03,0,0,9.03,0,3.28
 36-46,0,0,0,0,5.64,0.81,0,5.64,0,1.61,2.42,1.61,0,0,0,0.81,0,0,0,0.81,4.83,6.45,0,0,0.81,25.78,1.61,1.61,0.81,0,38.67,0,0,0.81,0,0,4.83,0,0,2.42,0,2.42
 48-58,0,0,0,0,2.87,0,0,7.46,0.57,1.72,1.15,13.2,0,0.57,0,1.15,1.72,0,1.15,0.57,2.87,12.05,2.87,0,0,21.8,0.57,0.57,0,0,25.82,0,0,1.15,0,0,13.77,0,0,5.16,0,4.59
 60-70,0,0,0,0,3.93,0.98,0,17.67,0,0.98,0,25.52,0,0,0.98,2.94,0.98,1.96,1.96,0,0.98,30.43,0.98,0,1.96,24.54,0,0.98,0,0,29.45,0,0,1.96,0,0,6.87,0,0,2.94,0.98,2.94
 72-82,0,0,0,0,5.89,4.91,0,39.27,0,0,1.96,46.14,3.93,0,0.98,3.93,0.98,1.96,1.96,0,0.98,46.14,2.94,0,0.98,19.63,0.98,0.98,7.85,0,22.58,0,0,0,0,0,1.96,4.91,0.98,6.87,0.98,2.94
 84-94,0,0,1.06,0,10.62,1.06,0,40.36,1.06,1.06,1.06,22.3,4.25,0,1.06,5.31,0,5.31,0,1.06,2.12,23.36,2.12,4.25,1.06,13.81,0,1.06,2.12,0,62.66,0,0,1.06,0,0,1.06,2.12,2.12,7.43,0,2.12
 96-106,0,0,0,0,18.58,1.09,0,54.64,0,4.37,1.09,17.49,9.84,0,3.28,7.65,0,1.09,2.19,0,0,26.23,3.28,1.09,1.09,17.49,1.09,4.37,1.09,0,60.11,0,0,1.09,0,0,2.19,3.28,2.19,6.56,1.09,1.09
108-118,0,0,0.77,0,10.72,1.53,0.77,55.15,0.77,0.77,1.53,13.79,3.83,0,0.77,5.36,0.77,5.36,0.77,0.77,0,17.62,1.53,1.53,2.3,12.26,0,2.3,3.06,0,52.09,0,0,2.3,0.77,0,0,2.3,0.77,6.13,0.77,2.3
120,0,0,0,0,15.68,0,0,45.08,0,1.96,1.96,13.72,9.8,0,0,19.6,1.96,5.88,0,3.92,0,13.72,0,0,3.92,9.8,0,3.92,0,1.96,45.08,0,0,5.88,0,0,1.96,1.96,0,1.96,1.96,0
