stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0,2,0,0,0,0,0,9,0,1,4,4,5,0,0,4,0,0
 24-34,0,0,0,0,0,0,1.64,2.46,0,0,1.64,0,4.1,0,0.82,0,0.82,0.82,4.93,0,3.28,21.34,0,2.46,0,0,0,40.22,0,2.46,4.93,9.03,13.13,0,0,21.34,0,0
 36-46,0,0,0,0,0.81,0,4.83,7.25,0,0,0.81,0,3.22,0,0,0,0,0,4.03,0,2.42,36.26,0,0,0,0,0,15.31,0,3.22,3.22,0,9.67,0,0,9.67,0,0
 48-58,0.57,0,0,0,0.57,0,7.46,9.18,0,0,2.87,0,1.15,0,0,0,0.57,0.57,8.03,0,1.15,54.51,1.15,1.15,0,0,0,3.44,0,2.3,1.15,0,13.2,0,0,12.62,0,1.15
 60-70,0,0,0,0,1.96,0,11.78,13.74,0,0,3.93,0,0,0.98,0,0,0,0,5.89,0.98,0.98,77.54,0.98,0,0,0,0,11.78,0,7.85,5.89,0,7.85,0,0,8.83,0,0
 72-82,0,0,0,0,2.94,1.96,28.47,6.87,0.98,0.98,8.83,0,1.96,0,0.98,0,0,0,23.56,0,2.94,102.09,0,3.93,0,0,0.98,8.83,0,11.78,1.96,0,6.87,1.96,0,18.65,0,0
 84-94,0,0,0,0,4.25,0,9.56,4.25,2.12,0,9.56,0,0,0,0,0,0,0,7.43,0,1.06,63.72,1.06,0,0,0,0,18.05,0,43.54,1.06,0,3.19,1.06,0,10.62,1.06,0
 96-106,0,0,0,0,1.09,0,9.84,8.74,1.09,0,16.39,0,2.19,0,0,1.09,0,0,13.11,1.09,1.09,72.13,0,1.09,0,0,0,15.3,0,42.62,2.19,0,1.09,0,2.19,14.21,0,0
108-118,0,0,0,0.77,6.13,0,9.19,7.66,2.3,0,16.09,0.77,2.3,0,0.77,0,0,0.77,11.49,1.53,3.83,60.51,0.77,0.77,0.77,0,0,8.43,0,43.66,3.06,0,0,0.77,0.77,14.55,0.77,0.77
120,0,0,1.96,0,5.88,0,5.88,11.76,0,0,11.76,0,3.92,0,0,0,0,0,3.92,0,3.92,47.03,0,3.92,0,0,0,23.52,1.96,41.16,0,0,1.96,0,0,9.8,0,0
