stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
 10-12,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,5.75,0,0,0,4.93,0,0,0,0,0,0,1.64,0.82,0,0,69.77,0,0,0,0,0,0,0,20.52,0,0,0,0
 36-46,0,0.81,0,0,49.95,0,0,0,36.26,0,0,0,0,0,0,2.42,0,0,0,186.11,0,0.81,0,0,0,0,0,45.12,0,0,0,0
 48-58,0,1.15,0,0,146.89,0,0,0,86.64,0,0,0,0,0,0,2.87,4.02,0,0.57,272.56,0,0,0,0,0,0,0,56.23,0,0,2.87,0
 60-70,0,1.96,0,0,334.7,0,0,0,125.63,0,0,0,0.98,0,0,1.96,0.98,0,0,440.7,0,0,0,0,0,0,0,61.84,0,0.98,0.98,0.98
 72-82,0,0.98,0,0,263.09,0.98,0,0,77.55,0,0,0.98,0,0,0.98,0,6.87,0,0.98,369.1,0,0,0.98,0,0,0,0,21.6,0.98,0.98,2.94,0
 84-94,0,2.12,0,0,191.17,0,1.06,1.06,77.53,1.06,0,0,0,1.06,0,8.5,7.43,1.06,0,193.29,0,0,1.06,0,0,1.06,0,26.55,1.06,1.06,2.12,2.12
 96-106,0,5.46,1.09,0,132.23,0,0,0,40.44,0,1.09,0,0,0,0,4.37,7.65,4.37,0,159.56,0,0,0,0,0,0,0,1.09,1.09,0,0,1.09
108-118,0,0.77,0,0.77,75.83,0.77,0,0,28.34,0,0,0,0,0.77,0,4.6,3.06,0,1.53,142.47,0.77,0,0,0,0.77,0,0,3.06,0,0,0,0
120,0,3.92,0,0,70.55,0,0,0,35.28,0,0,0,0,1.96,0,1.96,3.92,0,1.96,160.7,0,3.92,1.96,0,0,0,1.96,0,0,0,0,0
