stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,5.26,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,9.44,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.61,3.15,0,0,37.76,0,0,3.15,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,38,9,2,1,0,1,3,0,1,0,0,0,0,0,5,1,0,3,39,0,0,1,0,0,0,0,8,2,0,6,10,0,0,1,0,0
 24-34,0,0,0,0,2.46,0,4.1,0.82,0.82,1.64,0,0,1.64,0,1.64,0,0,1.64,5.75,0,0,5.75,53.36,0,0.82,0.82,0,0,2.46,0,0.82,0,0,0,7.39,0,0,4.1,0,0
 36-46,0,0,0,0,0.81,0,5.64,0.81,0,2.42,0,0,0,0,0,0,0,0,4.83,0,0,0,48.34,0,1.61,0,0,0,2.42,0.81,0,0,0,0,8.86,0,0,2.42,0,0
 48-58,0,0,0,0,4.02,0,52.22,1.72,1.15,15.49,0.57,0,0.57,0,0,0,0.57,1.72,25.82,0.57,0.57,2.87,96.97,0.57,0.57,1.72,0,0,4.59,0,0,0,0.57,0,30.41,0,0.57,4.02,0,0.57
 60-70,0,0,0,0,6.87,0,18.65,4.91,1.96,4.91,4.91,0,0,0.98,0,0,0.98,0,20.61,0,1.96,0,53.98,0,0,2.94,0,0,5.89,0,0,0,0,0,5.89,0.98,1.96,2.94,0,0
 72-82,0,0,0,0,4.91,0,10.8,0.98,0,8.83,7.85,0,1.96,0,0.98,0,0,0,10.8,0,0,0,33.38,0,0,0.98,0,0,0.98,0,0,0.98,0,0,2.94,0,2.94,6.87,3.93,0.98
 84-94,0,0,1.06,0,27.61,3.19,42.48,4.25,2.12,22.3,14.87,0,0,2.12,2.12,1.06,4.25,2.12,24.43,0,5.31,5.31,69.03,0,2.12,3.19,0,1.06,47.79,0,0,0,1.06,0,2.12,1.06,4.25,6.37,3.19,2.12
 96-106,0,0,1.09,0,2.19,1.09,8.74,0,0,1.09,12.02,0,2.19,1.09,0,1.09,0,0,5.46,0,2.19,1.09,15.3,0,1.09,3.28,0,0,3.28,0,0,0,0,0,0,0,0,4.37,2.19,0
108-118,0,0,0,0,28.34,0,19.15,4.6,0.77,7.66,13.02,0,0.77,4.6,2.3,0.77,0.77,0.77,17.62,1.53,1.53,1.53,61.28,1.53,2.3,1.53,0,0.77,17.62,0,0,0,0,0,1.53,0.77,0.77,7.66,2.3,0
120,0,0,0,0,17.64,0,11.76,7.84,1.96,13.72,15.68,0,0,5.88,0,0,0,0,11.76,0,0,0,52.91,0,1.96,1.96,0,0,11.76,0,0,0,0,0,1.96,0,0,3.92,3.92,0
