stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,237.2,448.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,478.11,79.69,6.13,0,0,0,0,0,0,0,0,122.59,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,155.09,13.14,76.23,0,2.63,0,186.64,0,0,0,0,946.34,0,0,0,0,0,0,0,0,0,0,0,220.81,13.14,0,0,47.32,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,12.59,50.35,0,0,0,654.57,0,0,0,0,534.98,0,0,0,0,0,0,0,0,0,0,0,1199,9.44,0,0,53.5,0,0,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,0,8,72,12,0,104,0,0,3,0,66,0,0,2,0,0,0,0,34,0,0,12,646,10,5,3,1,0,0,10,2,0,10,44,0,0,1,0,0
 24-34,0.82,0,3.28,13.95,0.82,0,90.29,0.82,0,1.64,0.82,0.82,0,0,4.1,0,0,0,0.82,7.39,4.1,0,2.46,409.61,10.67,3.28,4.1,0,0,0,0,0.82,0,0,51.71,0,0,21.34,0,0.82
 36-46,0,0,0.81,3.22,0,0,163.55,0,0,8.06,0.81,0,0,0,0,0,0,0,0,8.86,1.61,0,1.61,493.88,9.67,1.61,4.03,0,1.61,0,0,0,0,0,57.2,0,0,4.03,0,0
 48-58,0,0,0,1.15,0.57,0,193.37,0,0.57,11.48,0,0,0,0,0,0,0.57,0,0,25.82,6.31,0,2.87,705.78,11.48,1.72,2.87,0,0,0,0,0,0,0,88.37,0,1.15,2.87,0,0
 60-70,0,0,0,1.96,0,0,204.16,0,0.98,19.63,0,0,0.98,0,0,0,0,0.98,0,26.5,2.94,1.96,0,437.76,8.83,0,0.98,0,0.98,0,0,0,0,0,50.06,0,1.96,0.98,0,0.98
 72-82,0,0,0,5.89,2.94,0,174.74,0.98,1.96,30.43,0.98,0,1.96,0.98,0,1.96,0,0,0,61.84,10.8,0.98,0,553.66,8.83,0.98,3.93,0,0.98,0,0,0.98,0.98,0,36.32,0,4.91,7.85,1.96,1.96
 84-94,0,0,0,8.5,1.06,0,121.07,0,2.12,21.24,2.12,0,0,0,0,0,0,0,0,39.3,2.12,5.31,2.12,227.28,12.74,1.06,3.19,0,7.43,0,0,0,0,0,27.61,2.12,3.19,8.5,0,0
 96-106,0,0,0,6.56,4.37,0,75.41,0,5.46,38.25,8.74,0,1.09,0,0,1.09,1.09,0,0,45.9,6.56,2.19,3.28,205.46,12.02,1.09,2.19,0,7.65,0,0,0,0,0,8.74,0,15.3,9.84,2.19,0
108-118,0,0,0,10.72,2.3,0.77,71.23,0.77,3.06,29.87,5.36,0,0,0,0.77,0.77,0,0,0,26.04,3.83,3.06,3.83,243.58,9.19,0.77,0.77,0,3.06,0,0,0,0,0,5.36,0.77,7.66,6.13,1.53,0
120,1.96,0,0,15.68,1.96,0,50.95,1.96,3.92,17.64,3.92,0,0,0,0,1.96,1.96,0,0,23.52,1.96,0,1.96,188.14,9.8,0,7.84,0,0,0,0,0,0,0,5.88,0,5.88,1.96,0,0
