stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,490.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,12.26,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,15.77,0,42.06,0,0,44.69,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,386.42,10.51,0,0,165.61,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,22.03,0,25.18,0,0,31.47,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,302.11,15.73,0,0,113.29,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,6,79,14,21,1,0,21,1,1,0,0,1,0,0,0,3,36,0,26,392,10,3,7,16,0,1,54,5,1,44,153,0,0,0,0,1
 24-34,0,0,0.82,4.1,27.91,0,33.66,0.82,1.64,15.6,1.64,0,0,0,0.82,0,2.46,1.64,2.46,92.76,0.82,31.19,318.49,3.28,2.46,7.39,0,0,2.46,0.82,2.46,0,8.21,109.99,0,0,1.64,0,3.28
 36-46,0,0,0.81,0,4.83,0.81,20.14,0.81,0.81,16.92,0,0,1.61,0,0,1.61,3.22,0,0.81,115.21,0.81,28.2,165.97,3.22,0,5.64,0,0,0.81,0,0,0.81,0,71.7,0,0,0.81,0,2.42
 48-58,0.57,0,0,0,5.16,0,21.23,0,5.74,26.4,0,0,0.57,0,0.57,1.15,5.74,0,3.44,92.38,2.3,20.66,66.56,1.15,2.3,6.31,0,0,0,0,0.57,0.57,0,35,0,1.15,1.15,0,2.87
 60-70,0,0,0,0,10.8,0,7.85,0,3.93,16.69,0,0,0,0,0.98,0.98,1.96,0,2.94,76.56,3.93,12.76,21.59,0.98,1.96,1.96,0,0,0.98,0,0,0,0,4.91,0,0.98,0.98,0.98,4.91
 72-82,0,0,0.98,0,3.93,0,16.69,0,1.96,24.54,0,0,0.98,0,0,0.98,2.94,0,1.96,96.2,2.94,11.78,31.41,0,1.96,2.94,0,0,0.98,0,0,0,0,5.89,0.98,0,0.98,2.94,3.93
 84-94,0,0,0,0,6.37,0,23.36,2.12,4.25,18.05,3.19,0,0,0,1.06,5.31,1.06,1.06,3.19,82.84,2.12,16.99,20.18,1.06,3.19,6.37,0,1.06,1.06,0,2.12,0,0,7.43,0,5.31,0,1.06,7.43
 96-106,0,0,0,0,4.37,1.09,8.74,0,4.37,12.02,1.09,0,1.09,2.19,1.09,2.19,5.46,3.28,3.28,61.2,0,12.02,27.32,1.09,2.19,4.37,0,0,0,0,0,0,0,3.28,0,0,1.09,2.19,1.09
108-118,0,0,0,0,7.66,0.77,6.13,0.77,5.36,8.43,0.77,0,0.77,0,0.77,5.36,3.06,0.77,5.36,44.43,0.77,9.96,16.09,0.77,0.77,6.89,0,0.77,0,0,0,0,0,2.3,0,0.77,0,0.77,4.6
120,0,0,0,0,5.88,0,9.8,0,0,9.8,1.96,0,0,0,0,0,1.96,1.96,1.96,35.28,3.92,7.84,21.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88
