stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,spinal.cord,vasculature,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0
 36-46,0,0,11.28,0,0,0.81,0,0,0,0,0,0,0,0,0,4.03,0,0,0,0,0,0
 48-58,0,0,68.86,0,0,0,0,0,0,0,0,0,0,1.15,0,4.59,0,0,0,0.57,0,0
 60-70,0,0,189.43,0,0,0,0,0,0.98,0,0,0,0,0.98,0,3.93,0,0,0,0.98,0,0
 72-82,0,0,226.76,1.96,0,3.93,0,0,0,0,0,0,0,0.98,0,11.78,0,0,0,2.94,0,0
 84-94,0,0,190.1,1.06,1.06,5.31,0,1.06,0,0,0,0,1.06,4.25,0,7.43,0,0,0,1.06,1.06,0
 96-106,5.46,1.09,237.15,1.09,1.09,5.46,0,0,0,1.09,0,0,2.19,1.09,0,5.46,0,1.09,0,1.09,0,0
108-118,0.77,0,166.21,0,0,0.77,0.77,0,0,0,0,0,0,3.06,0,13.79,0,0,0,0,0.77,0.77
120,0,1.96,154.82,0,0,1.96,0,0,3.92,0,1.96,1.96,0,0,1.96,7.84,1.96,1.96,0,0,0,1.96
