stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,73,0,0,0,0,0
 24-34,0,6.57,2.46,0,0,9.85,0,0,0,0.82,0,0,0,0,0,0,0,0,0,3.28,0,0,1.64,713.32,0,22.98,0.82,0,0,3.28,0,0,235.59,0,0,2.46,0,0
 36-46,0,3.22,4.03,0,0,35.45,0,0,0,4.83,0.81,0,0.81,0.81,0,0,0,0,0.81,8.86,0,0,0.81,1940.86,0.81,26.59,1.61,0,0,0.81,0,0.81,415.73,0,0,1.61,0,0
 48-58,0,0.57,6.89,0.57,0,222.64,0.57,0,3.44,32.71,0.57,0,1.15,1.15,0,0,0.57,1.15,1.72,28.69,0,0,5.74,2726.72,1.72,17.21,0,0,0,6.31,0,0,473.39,0,0,1.15,0,2.87
 60-70,0,0,5.89,0,0.98,455.43,0,2.94,0,52.02,0.98,0,0.98,2.94,0,0,0.98,0,0,22.58,0,0,2.94,4015.41,0,14.72,3.93,0,0.98,4.91,2.94,0,561.43,0,0,2.94,0,1.96
 72-82,0,5.89,21.6,8.83,0,546.79,0.98,0,3.93,79.51,0.98,0,2.94,1.96,0,2.94,2.94,0.98,0,58.9,0,0,7.85,3048.06,0.98,26.5,3.93,0,0,7.85,1.96,0.98,328.86,0,2.94,6.87,0.98,6.87
 84-94,0,0,22.3,4.25,0,362.15,1.06,2.12,1.06,65.85,1.06,1.06,0,5.31,1.06,2.12,1.06,0,0,32.92,0,0,2.12,1533.58,0,15.93,14.87,0,0,2.12,0,0,150.81,1.06,0,2.12,2.12,3.19
 96-106,0,5.46,25.14,6.56,0,277.58,0,2.19,1.09,72.13,8.74,0,0,3.28,2.19,0,2.19,4.37,2.19,31.69,2.19,1.09,3.28,1174.81,3.28,25.14,6.56,0,0,5.46,0,2.19,90.71,2.19,0,4.37,2.19,0
108-118,0,0,22.21,1.53,0.77,206.04,2.3,0,2.3,42.89,1.53,0,1.53,1.53,1.53,0,0.77,1.53,0.77,26.04,0,0,1.53,1541.12,0.77,15.32,13.79,0,0,5.36,0,0,72.77,1.53,0,0,0,1.53
120,0,0,23.52,0,0,264.57,0,1.96,1.96,66.63,1.96,0,0,7.84,1.96,0,0,0,0,19.6,0,0,13.72,1691.3,1.96,23.52,7.84,0,0,3.92,0,0,64.67,0,0,1.96,0,0
