stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,hatching.gland,heart,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,5.26,0,0,0,0,5.26,2.63,2.63,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,3.15,0,0,6.29,0,0,0,0,9.44,0,6.29,0,0,3.15,0,0,0
 14-21,0,0,1,5,0,1,0,0,4,11,3,1,0,2,3,0,0,1,3,0,0,1
 24-34,0,0,0,0.82,0.82,0,0,0,0.82,5.75,1.64,0,0.82,1.64,1.64,0,0,4.1,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,2.3,0,0.57,0,0,0,0,1.15,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.98,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,2.94,0,0.98,1.96,0,0.98,0,1.96,0,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,0,0,4.25,0,0,3.19,0,0,1.06,1.06,0,0,0,0,0,1.06,2.12,0
 96-106,0,0,0,0,0,0,4.37,1.09,0,9.84,0,1.09,0,4.37,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0,0.77,7.66,0,0,5.36,0,0,0,0,0,0,1.53,0,0,0,0.77,0
120,0,0,0,3.92,0,0,7.84,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0
