stage,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,liver,mesenchyme,muscle,neural,notochord,olfactory,pronephros,spinal.cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,2.63,2.63,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,1,0,0,1,0,14,0,0,5,0,0,1,3,1,0
 24-34,0,0,0,0,0,0,0,0,9.85,0,0,2.46,0,0,0,0.82,0,0
 36-46,0,0,0.81,0.81,0,0,0,0,2.42,0.81,0,8.06,0,0,0,2.42,0,0
 48-58,0,0,0,0,0,0.57,0,0,0.57,0,0,2.87,0,0,0,0.57,0,0
 60-70,0,0,0,1.96,0,0,0,0,1.96,0,0,8.83,0,0,0,0.98,0,0
 72-82,0,0,0,2.94,0,0,7.85,0,1.96,0.98,0,4.91,0.98,1.96,0,0,0,0
 84-94,0,0,0,2.12,0,0,5.31,0,0,1.06,0,4.25,0,1.06,0,0,0,0
 96-106,0,0,0,2.19,1.09,0,40.44,0,0,0,1.09,2.19,0,2.19,0,0,0,0
108-118,0,0,0.77,1.53,0,0,91.92,0,3.06,0.77,0,6.89,0,0,0,0,0,0.77
120,1.96,0,0,0,0,0,66.63,0,1.96,0,0,3.92,0,0,0,0,0,0
