stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,1,0,2,0,0,0,0,0,0,20,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0.82,0,0,4.93,0,0,0.82,2.46,0,0,50.89,0.82,0,0,0,0,0,0,2.46,33.66,0,0.82,0.82,0,0,1.64,0,1.64,13.95,0,0,0.82,0,1.64
 36-46,1.61,0.81,0,13.7,0.81,0,0,8.86,0.81,0,70.09,0.81,0,0,0,8.06,0,0,4.03,70.09,0,2.42,0,0,2.42,0,0,0.81,18.53,0,0,0.81,0,0
 48-58,0.57,0,0,16.64,0.57,0,0.57,10.9,0.57,0,62.54,1.15,0.57,0,0.57,13.2,0,0.57,4.59,30.41,0.57,0.57,0,0,1.72,0.57,0,0,6.31,0,0,1.15,0,0.57
 60-70,0,0,0,22.58,1.96,0.98,0,12.76,0,0,63.8,0,0,0,0,10.8,0,0.98,1.96,44.17,0.98,0,0,0,2.94,1.96,0,0,10.8,0,0.98,0,0.98,0.98
 72-82,2.94,0,0,18.65,0,0,0,18.65,0.98,0.98,51.05,0.98,0,0,0.98,27.49,0.98,1.96,2.94,22.58,0,2.94,2.94,0,1.96,0,0,0,0,0.98,0,1.96,1.96,0.98
 84-94,3.19,2.12,0,13.81,1.06,0,2.12,19.12,0,0,74.34,0,2.12,0,0,18.05,0,0,0,13.81,1.06,0,0,0,2.12,2.12,0,0,2.12,0,1.06,0,0,0
 96-106,2.19,1.09,0,14.21,1.09,0,1.09,12.02,3.28,0,103.82,6.56,0,3.28,0,18.58,1.09,1.09,2.19,30.6,0,4.37,2.19,1.09,6.56,0,0,0,2.19,0,0,0,2.19,0
108-118,5.36,0.77,3.83,11.49,0.77,0,0,9.96,1.53,0,73.53,3.83,0,0.77,1.53,10.72,0,0.77,3.06,24.51,0,1.53,1.53,1.53,1.53,0,1.53,0,1.53,1.53,0,1.53,0,1.53
120,3.92,0,0,0,0,1.96,0,7.84,1.96,0,117.59,0,1.96,1.96,1.96,13.72,0,0,1.96,17.64,0,3.92,3.92,0,5.88,0,0,0,1.96,0,3.92,0,0,0
