stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,15.73,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0,437.43,12.59,0,0,37.76,0,0,3.15,0,3.15,0,0,0,0
 14-21,0,0,0,6,0,3,0,0,17,0,0,0,0,0,0,0,1,721,0,0,5,0,0,1,0,3,221,0,0,0,0
 24-34,0,0,0.82,0.82,0,12.31,0,0,22.98,0,0.82,0,0,1.64,0,0,0.82,1093.38,0,0,7.39,0,0,0,0,0,266.78,0,0,0,0
 36-46,0,0,0,1.61,0,12.89,0,0,93.46,0,0,0,0.81,0,0,0,0,944.24,0,0.81,5.64,0,0,0,0,0,277.15,0,0,0.81,0.81
 48-58,0,0,0,5.74,0,23.53,0,0,127.96,0,0,0.57,0,2.3,0,0,0,390.19,0,0,8.03,0,0,0.57,0,0,124.52,0,0,0,0
 60-70,0,0,0,4.91,0,12.76,0,0,174.71,0,0,0,0.98,3.93,0,0,0.98,359.24,0.98,0,4.91,0,0,0,0,0,50.06,0,0,0,0
 72-82,0,0,0,9.82,0,18.65,0,0,135.47,0.98,0,0,0,1.96,0.98,0,0.98,267.99,0,0.98,8.83,0,0,0,0,0,10.8,2.94,0,0,0
 84-94,0,0,0,7.43,0,31.86,1.06,0,109.39,3.19,0,0,2.12,0,1.06,0,0,174.17,0,1.06,14.87,0,0,0,0,0,20.18,6.37,0,0,0
 96-106,0,0,0,10.93,1.09,8.74,0,1.09,87.43,1.09,0,1.09,1.09,1.09,1.09,0,0,120.21,0,1.09,12.02,0,0,0,0,0,8.74,17.49,1.09,0,0
108-118,0,0,0,5.36,0,11.49,0,0,67.4,3.06,0,0,3.06,0,2.3,0.77,0,166.21,0,0.77,9.96,0,0.77,0,0,0,6.13,16.09,0,0,0
120,1.96,0,0,13.72,0,13.72,1.96,0,86.23,5.88,0,0,0,1.96,9.8,0,0,194.02,0,1.96,7.84,0,0,0,0,0,0,7.84,0,0,0
