stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,13.14,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,2,25,0,1,0,1,0,0,2,0,4,7,0,0,0,0
 24-34,0,0,0,0,0.82,0,3.28,0,0,0,0,0,1.64,0,0,0.82,0.82,0,3.28,0,0.82,28.73,0,0,2.46,0,0,0,0,0,1.64,11.49,0,1.64,0,0
 36-46,0,0,0,1.61,0.81,0,2.42,0,0.81,1.61,0,0,1.61,0,0.81,0,0,0.81,3.22,0,0.81,59.62,1.61,0,0.81,0,0,0,0,0,0,7.25,0,1.61,0,0
 48-58,0,0,0,0,0,0,17.21,0.57,0,3.44,0,0,0,0,0,0,0,0.57,5.16,0.57,1.15,56.81,0,0,0,0,0,0,0,0,0,14.92,0,1.15,0,0
 60-70,0,0,0,0,0,0,27.48,0,0,3.93,0,0,0.98,0,0,0.98,0,0,17.67,0,0.98,60.85,0,0,2.94,0,0,0,0,0,0,15.7,0,0,0,0
 72-82,0,0,0,0.98,4.91,0,30.43,0,0.98,9.82,0,0,0,0,0,0,0,0,28.47,0,2.94,67.73,0,2.94,2.94,0,0,0.98,0,0,0,12.76,0,0.98,0,1.96
 84-94,0,0,0,0,4.25,0,21.24,0,0,11.68,0,0,0,1.06,0,1.06,0,1.06,15.93,1.06,1.06,31.86,0,1.06,4.25,0,0,0,0,0,0,6.37,1.06,1.06,1.06,0
 96-106,0,0,0,0,3.28,0,9.84,0,0,9.84,1.09,0,0,0,0,1.09,1.09,0,7.65,0,2.19,24.04,0,0,7.65,0,0,0,0,1.09,0,2.19,0,2.19,0,0
108-118,0,0.77,0,0,1.53,1.53,13.79,0.77,0,9.96,2.3,0,0,0.77,1.53,3.06,0.77,0.77,15.32,0,4.6,23.74,0.77,0,2.3,0,0,0,0,0,0,4.6,0,3.83,0.77,0
120,0,0,0,11.76,3.92,0,21.56,0,0,11.76,5.88,0,0,1.96,0,0,3.92,0,5.88,0,1.96,25.48,0,1.96,1.96,0,0,0,0,5.88,0,5.88,1.96,3.92,0,0
