stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,1,0,2,3,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,1,0,5,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.82,1.64,15.6,0,0,0,0,0,0.82,0,0,4.93,0,0,0,0
 36-46,0,0,0,0,0,0,5.64,0.81,0,0.81,0.81,0,0,0.81,1.61,0,0.81,24.17,0,1.61,0,0,0,0,0,0,6.45,0,0,0,0
 48-58,0,0,0,0,0.57,0,5.16,2.3,0,0,0,0,0,0,3.44,0,0,14.35,0,0,0,0,0,0,0,0,3.44,0,0.57,0,0
 60-70,0,0,0,0,0.98,0.98,20.61,0.98,0,0,0.98,0,0,0,2.94,0,0,29.45,0,0,0,0,0,0,0,0,3.93,0,0,0,0
 72-82,0,0,0,0,0,0,12.76,0.98,0,0,0.98,0,0,0,4.91,0,0,18.65,0,0,0,0,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,1.06,0,7.43,2.12,0,0,0,0,1.06,0,3.19,0,0,9.56,0,0,0,0,1.06,0,0,0,2.12,0,1.06,1.06,0
 96-106,0,0,1.09,0,0,0,6.56,1.09,0,0,2.19,0,0,0,3.28,0,0,5.46,0,0,0,0,0,1.09,0,0,1.09,0,0,1.09,1.09
108-118,0,0,0,0,0.77,0,2.3,0.77,0.77,0.77,1.53,0,0.77,0,3.06,0,0,8.43,0,0.77,0,0,0,0,0,0,1.53,0.77,0.77,0,0
120,0,0,0,0,0,0,11.76,1.96,0,0,5.88,1.96,0,0,1.96,0,3.92,5.88,0,0,1.96,0,0,0,0,0,0,0,0,0,0
