stage,epidermis,erythrocytes,eye,glial,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,pronephros,spinal.cord,vasculature
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,1,4,0,0,0,0,0
 24-34,0,0,0.82,0.82,1.64,0,5.75,0.82,0,0.82,1.64,1.64
 36-46,0,0.81,1.61,0.81,3.22,0,2.42,0,0,0,1.61,0
 48-58,0,0,1.15,0.57,2.3,0,0,0,0,0,0.57,0
 60-70,0,0,0.98,0,0.98,0,0.98,0,0,0,0,0.98
 72-82,0,0,1.96,0.98,1.96,0,1.96,0,0,0,0,0
 84-94,0,0,2.12,1.06,1.06,0,3.19,0,0,0,0,0
 96-106,0,0,1.09,3.28,3.28,0,1.09,0,0,0,0,0
108-118,0,0,2.3,0,0,0,0.77,0,0,0,0,0
120,1.96,0,1.96,1.96,1.96,0,0,0,0,0,0,0
