stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,13.14,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,12.59,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,2,0,2,3,0,1,0,0,3,1,1,6,0
 24-34,0,0,0,0,3.28,0,1.64,0.82,0,0,0,0,0,0,0,0,0.82,0,0.82,18.06,0.82,0,0.82,0,4.1,0,0,9.85,0
 36-46,0,0,0.81,0,0,0,0.81,0,0,0,0.81,0,0,0.81,0,0,6.45,0,2.42,50.76,0.81,0,1.61,0,4.83,0,0,12.89,0.81
 48-58,0,0,0,0,1.72,0,1.15,0,0,0,0,0,0,0,1.15,0,4.59,0.57,2.3,23.53,0,1.15,0,0,1.15,0.57,0,8.03,0
 60-70,0,0,0,0,1.96,0,7.85,0.98,0,0,0,0,0,0.98,0,0,16.69,0,0.98,21.59,0,0,0.98,0,5.89,0,0,0,0
 72-82,0,0,0,0,14.72,0,23.56,1.96,0,0.98,0.98,0,0,1.96,0,0,43.19,0,0,18.65,0,0,2.94,0,8.83,0,0,0.98,1.96
 84-94,1.06,0,0,0,18.05,0,16.99,4.25,0,0,0,0,0,0,2.12,0,37.17,1.06,0,5.31,0,0,2.12,0,22.3,0,0,3.19,0
 96-106,0,0,0,0,66.66,1.09,12.02,4.37,1.09,1.09,2.19,0,0,6.56,5.46,1.09,39.34,1.09,0,5.46,0,0,1.09,0,13.11,0,0,1.09,0
108-118,0,0,0,0,64.34,0.77,7.66,2.3,0,0.77,3.06,0,0.77,11.49,0,0,29.87,0,0,7.66,0,0,3.06,0,6.89,1.53,0,0.77,0
120,0,0,0,0,58.79,0,3.92,3.92,0,0,0,0,0,3.92,0,0,25.48,0,0,17.64,0,0,3.92,0,7.84,0,0,0,0
