stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.72,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,15.73,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,40,0,0,0,0,3,0,1,5,14,0,0,0,0
 24-34,0,0,0,4.1,0,4.1,0,0,2.46,0,0,0,0,0,0,0,0,2.46,0,0,0,44.33,2.46,0.82,0,0,0,0,0,0,9.03,0,0,1.64,0
 36-46,0,0,0,0,0,8.86,0,0,0.81,0,0,0,0,0,0,0,0.81,3.22,0,0,1.61,73.32,1.61,0,0,1.61,0,0,0,0,12.09,0,0.81,1.61,0
 48-58,0,0,0,0,0,14.35,0,0.57,2.87,0,0.57,0,0,0,0,0,0.57,10.33,0,0,0.57,46.48,0,0,0,0.57,0,0.57,0,0,11.48,0,0,0,0
 60-70,0,0,0,0.98,0,17.67,0,0,3.93,0.98,0,0,0,0,0,0,0,9.82,0,0.98,0.98,32.39,0,0.98,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0.98,0,12.76,0,0,4.91,0,0,0,0,0.98,0,0,0,12.76,0,0,0,26.5,0,0,0,1.96,0,0,0,0,1.96,0,0.98,1.96,0.98
 84-94,0,0,0,1.06,0,6.37,1.06,2.12,2.12,0,0,0,0,0,0,0,0,5.31,1.06,0,1.06,18.05,0,0,0,2.12,0,0,0,0,5.31,0,1.06,2.12,0
 96-106,0,0,0,7.65,0,6.56,0,3.28,7.65,0,0,1.09,0,0,1.09,1.09,0,8.74,0,0,1.09,14.21,1.09,0,0,1.09,0,0,0,0,1.09,1.09,1.09,5.46,0
108-118,0,0,0,2.3,0,3.83,0.77,0.77,0.77,1.53,0.77,0.77,0,0,0,0,0,2.3,0,0,0.77,13.02,0.77,2.3,0,0.77,0,0,0.77,0,0,0,0,0.77,0
120,0,0,0,0,0,3.92,0,0,0,0,0,0,1.96,0,0,1.96,0,3.92,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,1.96,0
