stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,5.26,0,0,0,15.77,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,70.98,5.26,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,18.88,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,3.15,0,0,59.79,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,0,19,2,0,3,0,0,0,3,1,0,1,0,0,0,0,0,0,7,1,0,5,48,1,1,2,3,2,8,3,1,9,19,0,0,2,0,0
 24-34,0,1.64,0.82,5.75,0.82,0,5.75,0,1.64,0,3.28,0.82,0,0.82,0.82,0.82,0,2.46,0,0.82,18.88,0,0,6.57,115.74,1.64,4.93,1.64,0,9.03,0,0.82,0,2.46,42.68,0,0,8.21,0,1.64
 36-46,0,0.81,0,2.42,0,0,18.53,0,0,0.81,7.25,0.81,0,0,1.61,0.81,0,0.81,0,2.42,16.92,1.61,0,3.22,241.7,0,2.42,0,0,9.67,0,0,0,0,56.4,0,0,4.83,0,2.42
 48-58,0,0,0.57,0.57,0.57,0,33.28,0.57,0,1.15,8.03,0.57,0,0.57,1.15,0.57,0,0,0,1.72,30.99,0,0,5.74,187.06,0.57,0.57,0.57,0,4.59,0,0,0,0,43.61,0,0,3.44,0,1.15
 60-70,0,0,0,5.89,0,0,33.37,0,0.98,0.98,13.74,0,0,0,3.93,0,0,0,0,0,35.33,0,1.96,5.89,169.8,0.98,0.98,0.98,0,15.7,0,1.96,0.98,0,32.39,0,0,2.94,0,0
 72-82,0,0.98,0,6.87,4.91,0.98,36.32,1.96,0,0.98,35.34,6.87,0,1.96,1.96,1.96,2.94,5.89,0,0.98,54.97,0,4.91,5.89,156.08,0,2.94,7.85,0,12.76,0,0,0.98,0,14.72,1.96,0.98,10.8,2.94,1.96
 84-94,0,0,1.06,13.81,2.12,0,30.8,1.06,3.19,0,18.05,7.43,0,5.31,7.43,5.31,2.12,1.06,1.06,2.12,43.54,2.12,0,4.25,76.47,0,3.19,4.25,0,23.36,0,1.06,0,0,10.62,1.06,0,9.56,3.19,2.12
 96-106,0,0,0,10.93,1.09,0,22.95,1.09,0,3.28,18.58,5.46,0,0,5.46,6.56,1.09,5.46,3.28,0,21.86,2.19,0,1.09,67.76,1.09,4.37,6.56,0,28.41,0,0,0,0,6.56,0,1.09,4.37,4.37,1.09
108-118,0,0.77,0,16.09,4.6,1.53,19.15,0.77,1.53,0.77,10.72,6.13,0,1.53,4.6,5.36,3.06,2.3,0.77,2.3,33.7,2.3,0,1.53,78.13,0.77,2.3,4.6,0,10.72,0,0,0,0,3.06,3.83,0.77,7.66,0.77,0.77
120,0,0,0,21.56,1.96,1.96,23.52,0,3.92,1.96,1.96,7.84,0,0,5.88,7.84,0,3.92,3.92,0,13.72,0,0,3.92,56.83,0,3.92,7.84,0,17.64,0,1.96,0,0,5.88,1.96,1.96,0,0,0
