stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.59,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,75.53,0,0,0,18.88,0,3.15,0,9.44,0,0,3.15,0,0,0,0,0
 14-21,0,0,4,92,33,0,10,0,0,0,9,5,0,0,0,0,0,0,0,1,33,0,0,22,137,7,0,6,4,0,26,12,8,3,19,71,0,0,6,0,1
 24-34,0,0,4.93,114.1,2.46,0,41.86,0,1.64,0.82,16.42,0.82,0,9.85,0,0,0,0,0,4.93,94.4,0.82,0,53.36,288.12,4.1,4.93,7.39,0,0.82,151.86,0,8.21,3.28,2.46,96.04,0,0,36.12,0,4.1
 36-46,0,0,1.61,58.01,0,0,12.09,2.42,9.67,2.42,31.42,1.61,0,1.61,0.81,1.61,2.42,5.64,0.81,5.64,68.48,1.61,2.42,12.09,187.72,5.64,6.45,7.25,0,0,115.21,0,4.03,4.03,0,54.79,0,0,29,0,4.83
 48-58,0,0,0.57,51.07,0.57,0,23.53,4.59,10.33,3.44,37.3,1.15,0,4.02,2.3,0,2.3,4.02,0.57,7.46,94.1,1.15,3.44,16.07,141.16,2.3,2.3,5.16,0,0,62.54,0,1.15,2.3,0,55.66,0,0.57,12.05,0,9.18
 60-70,0,0,0,65.76,0.98,0,23.56,4.91,16.69,2.94,25.52,3.93,0,0.98,3.93,0.98,4.91,7.85,0.98,2.94,79.5,0.98,5.89,7.85,144.28,3.93,2.94,11.78,0,0.98,38.28,0,4.91,1.96,0,18.65,0.98,1.96,18.65,0.98,7.85
 72-82,0,0.98,0,84.42,2.94,0,26.5,0.98,9.82,1.96,37.3,10.8,0,1.96,0.98,0.98,3.93,4.91,0,5.89,106.02,0.98,8.83,10.8,211.06,1.96,1.96,9.82,0,0,62.83,0,4.91,1.96,0,9.82,1.96,0,32.39,0,5.89
 84-94,0,0,2.12,177.36,3.19,0,30.8,1.06,26.55,4.25,23.36,19.12,0,0,3.19,2.12,9.56,6.37,3.19,13.81,59.47,4.25,5.31,12.74,97.71,1.06,9.56,16.99,0,1.06,150.81,0,12.74,0,0,5.31,10.62,1.06,22.3,6.37,11.68
 96-106,0,0,3.28,159.56,4.37,0,28.41,0,20.76,0,28.41,39.34,0,3.28,5.46,9.84,7.65,9.84,3.28,9.84,45.9,4.37,2.19,4.37,87.43,3.28,17.49,14.21,0,2.19,171.58,0,2.19,2.19,0,4.37,24.04,2.19,24.04,4.37,14.21
108-118,0,0.77,5.36,222.13,5.36,0.77,16.85,3.06,42.13,1.53,29.87,42.89,0,1.53,5.36,25.28,17.62,9.96,6.13,13.79,55.15,6.13,3.06,6.89,85.02,4.6,13.79,18.38,0,1.53,200.68,0,9.96,3.06,0,0.77,42.89,0.77,19.92,3.06,28.34
120,0,0,0,109.75,3.92,0,27.44,1.96,19.6,3.92,15.68,19.6,0,1.96,9.8,13.72,5.88,0,0,3.92,43.12,3.92,0,7.84,117.59,3.92,5.88,11.76,0,0,96.03,0,5.88,3.92,0,0,13.72,1.96,25.48,1.96,9.8
