stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.79,0,0,0,9.44,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,27,29,691,0,0,0,6,1,0,0,0,0,0,1,1,251,0,0,255,1107,1,0,1,1,0,2,1,13,0,3,10,43,0,0,0,0,0
 24-34,0,0,0,0,9.03,2.46,667.36,0,0,0,16.42,0,2.46,0,0.82,0.82,0,1.64,0.82,643.55,0,0.82,249.54,779.81,0.82,1.64,0,0.82,0.82,5.75,0,2.46,0.82,3.28,6.57,67.31,0,0,6.57,0,0.82
 36-46,0,0,0,0,3.22,0,583.3,0,0,4.83,25.78,0,0.81,0,0,0,0,0,0,536.58,0.81,0.81,207.06,421.37,0.81,2.42,0,0,0,4.83,0,0.81,0,0,0.81,22.56,0,2.42,0,0,1.61
 48-58,0,0,0,0,5.74,0,538.8,0,0,9.18,31.56,0,0.57,0.57,0.57,0,0,0.57,0,646.1,0,3.44,116.48,247.88,0.57,1.15,0.57,0,0,3.44,0.57,0,0.57,0.57,0,24.67,0,3.44,0.57,0,0.57
 60-70,0.98,0,0,0,2.94,0,598.73,0,0,2.94,24.54,0,0,0.98,0,0,0,0,0,673.32,0,1.96,73.61,144.28,0,0,0,0,3.93,1.96,0,0,0,0,0,2.94,0,5.89,2.94,0.98,0.98
 72-82,0,0,0.98,0,15.71,0,451.56,1.96,0.98,11.78,56.94,0,0,0,0,0,0.98,0,0,755.88,0,9.82,66.75,144.3,0.98,0,0,0,3.93,1.96,0,0,0,0,0,5.89,1.96,10.8,1.96,2.94,1.96
 84-94,0,0,0,0,8.5,2.12,405.7,4.25,1.06,6.37,39.3,0,1.06,2.12,4.25,0,1.06,0,0,591.55,0,5.31,55.23,95.58,0,1.06,1.06,0,1.06,3.19,0,0,0,1.06,0,2.12,0,6.37,0,5.31,1.06
 96-106,0,0,0,0,19.67,3.28,374.85,1.09,6.56,3.28,34.97,3.28,0,3.28,2.19,1.09,1.09,1.09,1.09,595.6,2.19,7.65,39.34,110.38,1.09,2.19,0,0,10.93,4.37,0,0,0,0,0,3.28,0,4.37,0,3.28,0
108-118,0,0,0,0,4.6,0.77,322.47,0,0.77,4.6,42.89,1.53,0,1.53,0.77,0.77,0.77,0,0,592.86,0.77,3.06,32.17,130.21,0,2.3,1.53,0,9.96,2.3,0,0,0,0,0,0.77,0,5.36,2.3,1.53,0
120,0,0,0,0,1.96,1.96,180.3,0,0,0,33.32,0,0,0,3.92,0,1.96,1.96,0,444.87,0,1.96,37.24,131.31,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,7.84,0,0,0
