stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,5.26,0,7.89,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,6.29,0,0,0,0,0,15.73,3.15,47.2,0,9.44,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,12.09,0,0,0,0,0,5.64,0
 48-58,0,0,0,0,0,4.02,0,0,0,0.57,0,19.51,0,0,0,0,0,5.74,0
 60-70,0,0,0,0,0,8.83,0,5.89,0,0.98,0,56.93,0,0,0,0,0,16.69,0
 72-82,0,0,0,0,0,29.45,0,3.93,0,3.93,0,70.68,0,0,0,0,0,7.85,0
 84-94,0,0,0,0,0,13.81,1.06,1.06,1.06,1.06,0,32.92,0,0,0,0,0,7.43,0
 96-106,0,0,0,0,1.09,22.95,0,1.09,0,0,1.09,34.97,0,0,0,0,0,1.09,1.09
108-118,0,0,0,0.77,0,15.32,0,1.53,0,1.53,0,34.47,0,0,0,0,0,0.77,0
120,0,0,0,0,0,19.6,0,3.92,0,5.88,0,72.51,0,0,0,0,0,0,0
