stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,39.53,513.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,257.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,5.26,7.89,0,2.63,0,0,0,10.51,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,110.41,2.63,0,0,39.43,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.29,9.44,0,0,34.62,0,0,0,12.59,0,0,0,0,0
 14-21,0,0,0,1,37,5,0,3,1,0,3,2,0,1,0,1,0,0,0,12,0,2,50,2,1,4,3,0,2,13,1,19,27,0,2,0
 24-34,0,0,0.82,0,10.67,0.82,0,6.57,1.64,0,1.64,0,0,0,0,0,1.64,0,0,2.46,0.82,0.82,28.73,1.64,4.93,3.28,0,0,9.85,0,0.82,2.46,9.03,0,0.82,0
 36-46,0,0,0,0,7.25,0.81,0,8.06,0,0,1.61,0,0,0,0,0.81,0,0,0.81,4.03,0.81,2.42,33.84,0.81,1.61,4.03,0,0,17.72,0,0,0,3.22,0,0,0
 48-58,0,0,0,0,8.03,0.57,0,5.16,0,0,2.87,1.15,0,1.15,0,2.3,1.15,0.57,0,4.02,0,0,15.49,0,1.72,3.44,0,0,9.18,0,0.57,0,2.87,0,0.57,0.57
 60-70,0,0,0,0,10.8,0,0,6.87,3.93,0.98,1.96,0.98,0,0,0,1.96,0.98,0,0,0.98,1.96,0,9.82,0,0.98,1.96,0,0,6.87,0,0,0,0,0,0,0
 72-82,0,0,0,0,6.87,7.85,0,7.85,0.98,0,3.93,0.98,0,0,0,3.93,4.91,0,0,3.93,0,0,20.61,0,6.87,1.96,0,0,3.93,0,0.98,0,0,0,0,0
 84-94,0,0,0,1.06,11.68,3.19,1.06,10.62,1.06,0,0,6.37,0,0,2.12,3.19,2.12,0,0,2.12,3.19,0,10.62,0,4.25,4.25,0,0,30.8,0,1.06,0,1.06,2.12,0,0
 96-106,0,0,1.09,0,7.65,7.65,1.09,2.19,2.19,0,2.19,3.28,0,0,2.19,3.28,2.19,1.09,0,5.46,0,0,4.37,0,4.37,2.19,0,0,30.6,0,0,0,1.09,2.19,0,0
108-118,0,0,0.77,0,16.09,7.66,0,4.6,2.3,0.77,2.3,1.53,0,0,0.77,3.06,1.53,0.77,0,5.36,0,0.77,5.36,0,3.83,4.6,0,0.77,17.62,0,0,0,0,3.06,0,0
120,0,0,0,0,33.32,5.88,0,1.96,5.88,0,1.96,7.84,0,0,0,0,5.88,0,0,0,0,0,5.88,0,11.76,11.76,0,0,29.4,0,0,0,0,0,3.92,0
