stage,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,glial,gut,iridophores,liver,mesenchyme,neural,olfactory,periderm,pronephros,spinal.cord
 14-21,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0.81,0,0,0
 48-58,0.57,0,0,0,0,0,1.15,0,0.57,0.57,0,0,0,0,0
 60-70,0.98,0,0.98,0,0,0,6.87,0,0,0.98,0,0,0,0,0.98
 72-82,2.94,1.96,1.96,0,0,0,7.85,0,0,1.96,6.87,0,0.98,0,0
 84-94,0,5.31,3.19,0,0,3.19,28.68,1.06,1.06,2.12,0,0,0,0,0
 96-106,0,10.93,2.19,1.09,0,0,33.88,0,0,4.37,10.93,1.09,1.09,1.09,0
108-118,0.77,10.72,7.66,0.77,1.53,1.53,27.57,0,0.77,2.3,2.3,0,0,0.77,0
120,1.96,0,5.88,1.96,0,0,5.88,0,1.96,0,3.92,0,0,0,0
