stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,102.52,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.32,0,0,0,3.15,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,74,4,0,17,0,0,0,4,0,0,5,0,2,0,0,0,1,43,0,0,17,150,6,2,6,1,0,1,11,1,3,25,76,0,0,2,0,0
 24-34,0,0,0.82,51.71,0.82,0,53.36,0.82,7.39,0.82,11.49,0.82,0.82,4.93,0,6.57,0,4.1,0,2.46,120.67,0,0.82,40.22,859.44,16.42,7.39,31.19,0,0.82,4.93,0,2.46,1.64,10.67,177.3,0,0,16.42,0,0
 36-46,0,0,0,22.56,0.81,0,364.97,2.42,11.28,3.22,41.09,0,0,7.25,0,0,0.81,2.42,2.42,0.81,182.89,0.81,3.22,32.23,2014.98,16.92,8.86,20.95,0.81,0.81,4.83,0.81,0.81,2.42,0,327.1,0,0,7.25,0,1.61
 48-58,1.15,0,0.57,13.77,0.57,0,1066.13,2.87,8.61,9.18,118.78,0.57,0.57,6.31,1.15,0,6.31,6.89,0.57,1.15,331.66,2.87,8.61,35.58,2193.08,15.49,6.89,29.26,0,1.15,3.44,0,1.72,0.57,0,375.84,0,1.72,11.48,0,1.72
 60-70,0,0,0.98,20.61,0,0,1843.3,2.94,14.72,0.98,109.93,2.94,0,3.93,0.98,0.98,9.82,1.96,1.96,0,347.46,1.96,7.85,17.67,1879.61,7.85,5.89,17.67,0,0.98,4.91,0,0.98,0,0,253.23,0,4.91,5.89,3.93,0
 72-82,0,0,3.93,31.41,0.98,0,1433.23,5.89,3.93,11.78,139.4,8.83,0,4.91,2.94,1.96,14.72,7.85,1.96,0.98,403.46,3.93,15.71,29.45,1345.86,10.8,3.93,37.3,0,2.94,7.85,0,0.98,0.98,0,88.35,0.98,15.71,13.74,10.8,3.93
 84-94,0,0,3.19,45.67,2.12,0,1022.74,1.06,9.56,5.31,108.33,4.25,0,3.19,3.19,4.25,26.55,6.37,2.12,3.19,305.87,4.25,12.74,18.05,673.33,25.49,2.12,45.67,0,1.06,8.5,0,4.25,0,0,80.71,0,19.12,12.74,12.74,0
 96-106,0,0,4.37,37.16,4.37,0,536.59,1.09,2.19,10.93,74.31,7.65,0,4.37,2.19,5.46,16.39,7.65,1.09,0,205.46,0,12.02,19.67,490.69,10.93,14.21,43.71,0,2.19,6.56,0,3.28,0,0,27.32,3.28,9.84,7.65,18.58,3.28
108-118,0,0,1.53,39.06,2.3,1.53,389.11,0.77,4.6,8.43,57.45,13.79,0,1.53,1.53,1.53,29.87,4.6,3.06,1.53,148.6,0.77,6.89,12.26,548.43,13.79,4.6,45.19,0,1.53,6.13,0,2.3,0.77,0,6.13,0.77,9.96,11.49,9.19,3.83
120,0,0,0,17.64,3.92,1.96,327.28,1.96,5.88,5.88,64.67,15.68,0,1.96,1.96,1.96,19.6,5.88,5.88,1.96,129.35,3.92,9.8,11.76,437.03,11.76,3.92,43.12,1.96,3.92,0,0,0,0,0,21.56,1.96,3.92,7.84,3.92,0
