stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,periderm,pronephros,vascular.smooth.muscle,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0.82,0,0,0,2.46,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0.81,0,0,0,1.61
 48-58,0,0,0,0,0,0.57,0,0.57,0,1.15,1.15,0.57,0,0,0,0,2.87,0.57,0,0,0,0,0,5.16
 60-70,0,0,0,0,0,0,0,0,0.98,2.94,0.98,4.91,0,0,0,4.91,0.98,0.98,0,0,0,0,0,7.85
 72-82,0,0,0,0,0,1.96,0,0,3.93,18.65,1.96,0,0,0,0,7.85,1.96,4.91,0,4.91,0,0.98,0,12.76
 84-94,0,0,0,0,0,0,0,0,0,35.05,0,5.31,0,0,0,37.17,4.25,0,1.06,7.43,0,4.25,1.06,7.43
 96-106,0,1.09,0,3.28,0,7.65,3.28,1.09,3.28,57.92,2.19,3.28,1.09,0,0,46.99,0,4.37,0,24.04,1.09,10.93,0,10.93
108-118,0,0,2.3,2.3,0.77,4.6,0,0,2.3,95.75,0.77,2.3,0,0.77,0.77,117.96,0.77,5.36,0,18.38,0,22.21,0,9.96
120,0,0,0,3.92,0,3.92,0,0,0,68.59,0,11.76,0,0,1.96,48.99,1.96,3.92,0,11.76,1.96,11.76,0,7.84
