stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,18.39,196.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,2.63,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.78,2.63,0,0,21.03,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,11,2,4,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,43,3,0,0,2,0,4,2,6,14,0,0,1,0,0
 24-34,0,0.82,0,0.82,1.64,8.21,0,0,0,2.46,0.82,0,0.82,0,1.64,0,0,1.64,0,8.21,0,0,2.46,91.94,0,0,0.82,0,7.39,0,0.82,4.1,18.88,0,0,3.28,0,0
 36-46,0,0,0,0.81,0,12.09,0,0,0,2.42,0,0.81,0,0,0,0.81,0.81,0,0.81,4.83,0.81,0.81,1.61,49.95,0,0.81,0,0,1.61,0,0,0,16.11,0,0,0,0,0
 48-58,0,0,0,0,0,26.4,0.57,0.57,0,4.59,0,0,0,0.57,0,0.57,0,0,1.72,10.33,2.3,0.57,2.3,56.81,0.57,0,0.57,0,0.57,0,0,0,14.35,0,0,1.15,0,0
 60-70,0,0,0,0,0,40.24,1.96,0,0,4.91,0,0,0,0,0,0,0.98,0,0,9.82,0.98,0.98,2.94,41.22,0,0,0,0,2.94,0,0,0,9.82,0,0,3.93,0,0
 72-82,0,0,0,0,0.98,36.32,0,0,0,7.85,0.98,0,0,0.98,0,0,1.96,0,0.98,9.82,0,0,3.93,57.92,0,0.98,0.98,0,1.96,0,0.98,0,2.94,0,0.98,4.91,0,1.96
 84-94,0,0,0,0,2.12,18.05,0,1.06,0,8.5,3.19,0,0,3.19,1.06,0,0,0,2.12,12.74,0,0,1.06,28.68,0,1.06,1.06,0,9.56,0,0,0,2.12,0,1.06,4.25,0,1.06
 96-106,0,0,0,2.19,1.09,13.11,0,0,1.09,2.19,2.19,0,2.19,3.28,0,1.09,0,0,1.09,7.65,0,1.09,1.09,24.04,1.09,0,3.28,0,4.37,0,0,0,1.09,0,0,1.09,1.09,1.09
108-118,0,0,0,2.3,1.53,19.15,0,0,0,3.83,0,0,0,3.06,0.77,0.77,0,0,0,14.55,0,0,1.53,28.34,0,1.53,0,0,5.36,0,1.53,0,2.3,0,0,0.77,0,1.53
120,0,0,0,5.88,0,13.72,0,1.96,0,7.84,5.88,0,0,3.92,0,0,0,1.96,1.96,5.88,0,0,1.96,33.32,0,0,3.92,0,5.88,0,1.96,0,1.96,1.96,0,1.96,0,1.96
