stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,immune,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,slow_muscle,spinal_cord,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,0.57,1.15,0,0,0,1.15,1.15,0
 60-70,0,0,0,4.91,0,0,0,0,0,1.96,2.94,0,0,0,0,0.98,0,0
 72-82,0,0,0,8.83,0,0,0,0,0,3.93,2.94,0,0,0,0,0,0,0
 84-94,1.06,0,6.37,14.87,0,0,0,0,0,1.06,3.19,1.06,1.06,0,0,3.19,0,0
 96-106,1.09,1.09,0,18.58,1.09,2.19,1.09,0,1.09,0,4.37,3.28,0,0,1.09,0,0,1.09
108-118,0,0,0.77,20.68,0,0,0,0.77,0,0,5.36,3.83,0,0.77,0,0.77,0,0
120,0,0,0,19.6,0,1.96,0,0,0,0,3.92,3.92,0,0,0,1.96,0,0
