stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,131.78,1634.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,570.06,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,2.63,0,0,15.77,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,3,1,0,8,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,11,47,0,0,0,0,0,0,0,6,1,0,3,6,0,0,1,0,0
 24-34,0,0,0.82,1.64,0,0,0,12.31,0,0,6.57,1.64,0,0.82,0,0,0,0,0,0,38.58,0,0,42.68,106.71,0,2.46,1.64,0,0,1.64,0,0,4.1,0.82,3.28,19.7,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,12.09,0,0.81,11.28,4.03,0,1.61,0.81,0,0.81,0,0,1.61,62.84,0,0,51.56,267.48,0,1.61,3.22,0,0,0.81,0.81,0.81,0.81,0,0,30.62,0,0.81,2.42,0,0.81
 48-58,0,0,1.15,0,1.15,0,0,26.97,1.72,1.72,12.62,7.46,0,0.57,0,0,0,0,0.57,1.15,64.27,0,1.15,21.8,427.48,0,4.02,4.02,0,0,1.15,0,0,0.57,1.15,0,58.53,0,0,1.15,0,0
 60-70,0,0,1.96,0,1.96,0,0,118.76,1.96,4.91,9.82,17.67,0,0,0,0,0.98,0.98,0.98,2.94,75.58,0.98,0,19.63,670.38,0,2.94,5.89,0,0,1.96,0,0,1.96,0.98,0,72.63,0,1.96,0,0,0
 72-82,0,0,0,0,7.85,1.96,0,234.62,0,4.91,19.63,48.1,1.96,0.98,0,0,0,0.98,0,0.98,118.78,0,1.96,18.65,549.73,0,6.87,11.78,0,0.98,0.98,0,0,2.94,0,0,40.25,1.96,3.93,0.98,0.98,0
 84-94,0,0,1.06,0,7.43,2.12,0,150.81,1.06,9.56,19.12,33.99,2.12,0,0,0,0,2.12,0,1.06,86.03,0,1.06,21.24,316.49,1.06,3.19,16.99,0,2.12,2.12,0,0,2.12,1.06,0,19.12,3.19,0,2.12,4.25,1.06
 96-106,0,0,0,0,12.02,1.09,0,155.18,2.19,2.19,16.39,38.25,2.19,0,1.09,2.19,0,2.19,0,1.09,75.41,0,0,10.93,253.54,0,5.46,18.58,0,0,3.28,0,0,2.19,0,0,14.21,1.09,0,3.28,0,1.09
108-118,0,0,0,0,7.66,0,2.3,96.51,0.77,10.72,15.32,32.94,3.06,0,0.77,0,0,0.77,0,0.77,79.66,0,0.77,19.92,266.56,3.06,6.13,12.26,0,0,1.53,0,0,3.06,3.83,0,11.49,4.6,0,0.77,3.06,0
120,0,0,0,0,3.92,0,0,76.43,0,11.76,19.6,39.2,3.92,0,1.96,0,0,0,0,0,68.59,0,1.96,9.8,284.17,0,3.92,23.52,0,1.96,0,0,0,0,0,0,11.76,0,0,1.96,3.92,0
