stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5,23,5,0,21,0,0,0,4,2,2,0,0,0,0,0,0,13,0,10,87,2,0,1,5,0,3,33,1,35,31,0,0,0,0,0
 24-34,0,0,0,4.1,1.64,0,11.49,0,0,0,0,0.82,0,0,0.82,0,0.82,0,0.82,14.78,0,3.28,59.92,0,4.1,1.64,0,0,4.1,0,0,3.28,18.06,0,0,4.1,0,0
 36-46,0,0,0.81,2.42,0.81,0,10.47,0,0,0,1.61,0,0,0,0,0,0,0,0,5.64,0.81,3.22,53.17,0.81,0.81,0,0,0,0.81,0,0.81,0,8.86,0,0,1.61,0,0.81
 48-58,0,0,0,1.15,0,0,22.95,0,0.57,0,4.59,0,0.57,0,0,0,0.57,0.57,0,8.03,0.57,3.44,60.25,0,1.15,0,0,0.57,0.57,0,0,0,7.46,0,0.57,0,0,0
 60-70,0,0.98,0,5.89,0,0,53,0,0,0.98,8.83,0,0,0,0,0.98,0,0,0,10.8,0.98,0,76.56,0,0.98,0,0,0,2.94,0,0.98,0,2.94,0,0,1.96,0,0
 72-82,0,0,0,1.96,1.96,0,68.72,0.98,0,0,13.74,0.98,0,0,0,0,1.96,0,0,15.71,0,4.91,96.2,0,2.94,0,0,0,0.98,0,0.98,0,9.82,0,0,3.93,0.98,0
 84-94,0,1.06,0,7.43,1.06,0,29.74,1.06,2.12,0,5.31,1.06,1.06,2.12,0,0,0,0,0,7.43,1.06,2.12,45.67,0,0,2.12,0,0,9.56,0,3.19,0,2.12,2.12,0,0,1.06,0
 96-106,0,0,0,4.37,0,1.09,29.51,0,0,0,4.37,1.09,1.09,3.28,1.09,0,0,0,0,6.56,0,3.28,41.53,0,6.56,1.09,0,0,10.93,0,2.19,0,2.19,0,0,2.19,2.19,0
108-118,0,0,0,6.13,1.53,3.83,24.51,0,0,0.77,7.66,1.53,0,1.53,1.53,0,0.77,0.77,0,16.09,0,3.06,47.49,0.77,1.53,1.53,0,0,9.19,0,1.53,0,0.77,0,0.77,1.53,0,0.77
120,0,0,0,7.84,0,1.96,23.52,0,1.96,0,9.8,1.96,1.96,1.96,0,0,0,0,0,7.84,0,5.88,39.2,3.92,1.96,1.96,0,0,13.72,0,0,0,1.96,0,0,0,0,0
