stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,18.39,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,0,28.92,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,6.29,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,1,0,4,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0,0,5.75,0,0,0,0,0.82,0,0.82,0
 36-46,0,0,0.81,0.81,0,0,0.81,0,0,0,0,0,0,10.47,0,0,0.81,0,0.81,0,1.61,0
 48-58,0,0,0,0.57,0,0,0.57,0,0,0,0,0,0.57,15.49,0,0,0.57,0,0,0,0.57,0
 60-70,0,0,1.96,2.94,0,0.98,0,0,0,0.98,0.98,0,0,9.82,0,0,0.98,0,0,0,1.96,0
 72-82,0,0,17.67,0.98,0,0,1.96,0,2.94,0,2.94,1.96,1.96,8.83,0,0,0,0,0,0,0,0
 84-94,0,0,7.43,2.12,0,0,1.06,0,2.12,1.06,0,0,0,4.25,0,0,1.06,0,3.19,0,0,0
 96-106,0,1.09,17.49,0,1.09,1.09,3.28,0,2.19,1.09,2.19,0,0,4.37,0,0,0,0,1.09,0,0,1.09
108-118,0,0.77,7.66,0.77,0,0,3.06,0,1.53,0,3.83,0.77,0,5.36,0,0,0,0,0.77,0,0,0.77
120,0,5.88,19.6,0,0,0,0,1.96,0,0,1.96,0,0,5.88,0,1.96,3.92,0,3.92,0,0,0
