stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,7,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,37,0,1,0,0,0,0,0,2,0,24,0,0,8,0,0
 24-34,0,0,0,1.64,0.82,0,5.75,0,0,0,0.82,0.82,2.46,0,0,0,0,0.82,3.28,1.64,0,0,1.64,297.15,0.82,13.13,2.46,0,0.82,0.82,0,6.57,0,81.26,0,0,25.45,0,0
 36-46,0,0,0,0.81,0,0,29,0,0,0,4.03,0,0,0,0,0,0,2.42,12.09,4.03,0,0,0,835.48,0,7.25,0,0,0,1.61,0,6.45,0,158.72,0,0,17.72,0,0.81
 48-58,0,0,0,2.87,0,0,145.75,0,0,0,26.4,0.57,0.57,0,0.57,1.15,0,0.57,5.74,8.61,0.57,1.15,2.3,1174,1.15,10.33,2.3,0,0,0.57,0,3.44,0.57,185.91,0,0,13.77,0,0
 60-70,0,0,0.98,1.96,0.98,0,331.75,0,0,0,85.39,0.98,3.93,2.94,1.96,0,2.94,0,4.91,20.61,0.98,1.96,0.98,1531.17,0,6.87,0.98,0,0,1.96,0,8.83,0,172.75,0,0,17.67,0.98,1.96
 72-82,0,0,0.98,4.91,1.96,0,464.33,0.98,0,0.98,116.82,9.82,2.94,1.96,4.91,1.96,1.96,0.98,4.91,44.17,0,1.96,1.96,1245.73,0,20.61,8.83,0,0,1.96,0,3.93,0,81.48,0,0.98,28.47,0,2.94
 84-94,0,0,0,5.31,3.19,0,292.06,0,1.06,0,95.58,9.56,1.06,3.19,3.19,1.06,2.12,1.06,12.74,37.17,0,3.19,0,635.1,0,6.37,3.19,0,0,5.31,0,14.87,0,38.23,1.06,3.19,15.93,3.19,0
 96-106,0,0,2.19,13.11,4.37,1.09,255.73,0,0,2.19,85.24,12.02,3.28,0,5.46,3.28,3.28,1.09,6.56,27.32,0,0,1.09,496.15,1.09,20.76,4.37,0,1.09,3.28,0,14.21,0,31.69,0,0,32.79,0,0
108-118,0,0,0,7.66,1.53,1.53,181.53,0.77,0.77,0,73.53,17.62,3.06,0.77,3.06,0.77,5.36,2.3,9.19,17.62,0,0,1.53,565.28,0.77,13.02,6.13,0,0,3.83,0,9.19,0,11.49,0.77,0.77,16.85,0,0
120,0,0,0,7.84,1.96,0,160.7,0,1.96,0,68.59,25.48,0,0,9.8,0,1.96,3.92,1.96,9.8,0,3.92,3.92,719.24,0,7.84,9.8,0,1.96,1.96,0,13.72,0,27.44,0,0,23.52,1.96,1.96
