stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,1.64,0,0,19.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.13,0,0,0,0,0.82,0,0,0,0,0,0
 36-46,0,0,0,0,0,50.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.86,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,290.92,0,0.57,0,1.15,0,0,0,0,0,0,0,0,1.15,0,0,0.57,8.03,0,0.57,0,0,0.57,0,2.87,0,0,0,0
 60-70,0,0,0.98,0,0,958.95,0,0,0,0.98,0,0,0,0.98,0.98,0,0,0,2.94,0,0,0,11.78,0,0,0,0,0,0,0.98,0,0.98,0,0
 72-82,0,0,9.82,5.89,0,1302.67,0.98,0,0,5.89,0.98,0,0,0,0.98,0,0.98,0.98,13.74,0.98,2.94,1.96,39.27,0,0,2.94,0,0.98,0,2.94,0,0,0,0
 84-94,0,0,13.81,1.06,0,1364.72,1.06,1.06,1.06,8.5,0,1.06,0,2.12,0,0,0,0,10.62,0,1.06,2.12,22.3,1.06,0,0,0,0,0,3.19,1.06,0,1.06,0
 96-106,0,1.09,10.93,1.09,1.09,935.48,2.19,0,1.09,5.46,1.09,0,0,2.19,0,2.19,1.09,0,2.19,0,0,1.09,24.04,0,0,0,0,0,1.09,1.09,0,2.19,1.09,2.19
108-118,0,0,0.77,0.77,0.77,659.49,0,0,0,6.13,0.77,0,0.77,0,0,0,0.77,0,7.66,0,0.77,0,29.87,0,0,0.77,0,3.83,0,1.53,0,0.77,0,0
120,0,0,3.92,1.96,0,689.84,0,3.92,1.96,7.84,0,0,0,0,0,0,0,0,3.92,0,0,3.92,17.64,1.96,0,1.96,0,5.88,0,1.96,0,0,0,0
