stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,heart,immune,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,5,0,5,2,0,11,50,1,0,0
 24-34,0,0,0,0.82,0,1.64,0.82,0,0,0,0,0.82,0,0,1.64,0,6.57,0,21.34,0,0,1.64,15.6,1.64,0,0
 36-46,0,0,0.81,0.81,2.42,1.61,4.03,0,0.81,1.61,0,0,0,0,0,1.61,4.83,0,4.83,0,0,1.61,0,0,0,0
 48-58,0,0,0,0,12.62,2.87,6.31,0.57,0.57,0,0,0,0,0,0.57,0.57,4.59,0,0.57,0,0,0,0,0.57,0,0
 60-70,0,0,0,0.98,34.35,1.96,13.74,0.98,0.98,0,0,0,0.98,0,0.98,2.94,2.94,0,0,0,0,0,0,0,0.98,0.98
 72-82,0,0,0.98,0,99.15,2.94,7.85,0,0,0,0.98,0,0,0,2.94,0,5.89,0,0,0,0,0,0,0.98,0,0.98
 84-94,0,0,0,0,64.78,4.25,5.31,1.06,0,0,0,0,0,0,1.06,1.06,4.25,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,1.09,57.92,4.37,17.49,1.09,1.09,0,1.09,0,0,1.09,9.84,2.19,6.56,0,2.19,0,1.09,0,0,0,1.09,1.09
108-118,0,0,0,0,33.7,5.36,16.85,1.53,0,0,0,0,0,0,3.83,6.13,3.06,0,0,0,0,0,0,0,0,0
120,0,0,0,0,27.44,1.96,15.68,0,0,0,0,0,0,0,0,3.92,3.92,0,0,0,0,0,0,0,0,0
