stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,33,0,0,0,0,0,2,0,0,1,5,0,0,0,0,0
 24-34,0,0,0,0,2.46,0,0,0.82,0,2.46,0,0,0,0,1.64,0,0,25.45,0.82,0,0,0,0,0,0,0,0.82,7.39,0,0,2.46,0,0
 36-46,0,0,0,0,3.22,0,0,0.81,0,0.81,0,0,0,0,0,0.81,0,17.72,0,0.81,0.81,0,0,0,0,0,0,4.83,0,0,1.61,0,0
 48-58,0,0,0,0,5.16,0.57,0,0.57,0,0,0,1.15,0,0.57,1.15,0,0,10.9,0,0,0,0,1.15,0,0,0,0,4.59,0,0,0,0,1.15
 60-70,0,0.98,0,0,33.37,0,0,5.89,0.98,0.98,0,0.98,0,0,3.93,0,0,28.46,0,3.93,1.96,0,0.98,0,0,0,0,5.89,0,0,0,0,1.96
 72-82,1.96,0,0,0,84.42,0,0,15.71,0.98,0.98,0,3.93,0,0.98,4.91,0.98,0,54.97,0,1.96,5.89,0,0,0,0,0,0,6.87,0.98,0,0.98,0,0.98
 84-94,1.06,1.06,1.06,0,36.11,0,2.12,9.56,3.19,0,1.06,1.06,0,0,2.12,1.06,0,30.8,0,0,8.5,0,2.12,0,0,1.06,0,0,1.06,0,0,0,0
 96-106,5.46,0,0,0,45.9,0,1.09,25.14,3.28,0,0,3.28,0,1.09,3.28,1.09,0,25.14,0,2.19,16.39,0,1.09,0,0,0,0,2.19,2.19,1.09,0,1.09,0
108-118,1.53,0.77,0,1.53,33.7,0,0,16.09,3.83,0.77,0.77,4.6,1.53,0.77,2.3,0.77,0.77,29.11,0,0.77,5.36,0,0,0,0,0,0,2.3,0.77,0,1.53,0,0
120,1.96,0,0,0,27.44,0,0,17.64,3.92,0,1.96,9.8,3.92,0,0,0,0,33.32,0,0,5.88,0,3.92,0,0,0,0,1.96,1.96,0,1.96,0,0
