stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,306.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.51,0,28.92,0,0,42.06,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,239.21,2.63,0,0,81.49,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,22.03,0,6.29,28.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427.99,18.88,0,0,163.64,0,0,0,12.59,0,6.29,0,0,0,0,0
 14-21,0,0,1,4,12,2,2,0,0,78,0,0,0,0,3,0,0,0,2,0,3,98,1,6,31,7,2,1,1,63,1,191,0,0,0,0,0
 24-34,0,0,0.82,0.82,2.46,3.28,11.49,4.93,0.82,73.06,0.82,0,0,0,8.21,0,2.46,0,8.21,0,1.64,102.61,0.82,27.91,4.93,0,2.46,0,0,27.09,1.64,159.25,0,0,3.28,0,0
 36-46,0,0,0,0,0.81,0.81,15.31,0,0,37.87,0,0,0,0,0.81,0,0.81,0.81,12.89,0,4.83,73.32,0.81,37.06,4.83,0,3.22,0,0,15.31,0,115.21,0,0,0,0,0
 48-58,0,0,0,0,0,0,19.51,0,0,35.58,0,0,0,0,1.15,0.57,2.87,0,6.89,0,2.3,47.63,0,23.53,5.16,0,1.72,0,0,2.3,0,73.45,0,0,0,0,0
 60-70,0,0,0,0,0,0,31.41,0,0.98,54.97,1.96,0,0,0,2.94,0,6.87,0,5.89,0,0.98,32.39,0,32.39,5.89,0,2.94,0,0,1.96,0,40.24,0.98,0,0,0,0
 72-82,0,0,0.98,0,2.94,0,22.58,0,0.98,49.08,0.98,0,1.96,0,14.72,0,6.87,0,10.8,0.98,0.98,30.43,0,48.1,13.74,0,0,0,0,2.94,0,19.63,0,0,0,0,0
 84-94,0,0,1.06,2.12,8.5,1.06,21.24,0,2.12,35.05,2.12,0,1.06,0,12.74,0,7.43,0,3.19,0,1.06,21.24,0,49.92,22.3,0,1.06,0,0,7.43,0,23.36,1.06,0,0,0,0
 96-106,0,0,1.09,1.09,3.28,0,13.11,0,0,39.34,1.09,0,2.19,0,14.21,0,15.3,0,12.02,0,0,17.49,0,71.04,24.04,0,3.28,0,0,6.56,0,17.49,1.09,0,0,2.19,1.09
108-118,0,0,1.53,0,1.53,0,9.19,0,0,18.38,2.3,0,1.53,0,11.49,0,7.66,0,6.13,0.77,1.53,18.38,0,39.83,16.09,0,1.53,0,0,5.36,0,8.43,0,0,0,0,0
120,0,0,0,0,1.96,0,9.8,0,0,9.8,1.96,0,1.96,1.96,9.8,0,3.92,0,5.88,1.96,0,25.48,0,17.64,9.8,0,1.96,0,0,7.84,0,9.8,0,1.96,0,0,0
