stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,47.2,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,1,0,1,0,0,0,0,0,35,0,0,0,0,0,17,0,2,0,0,0,4,0,0,0,0,0,0,0,0,2,1,0,0,0,0,5
 24-34,0,0,0,1.64,0,0,11.49,0,0,0,0,0,3.28,0,0,0,0.82,0,22.98,0,1.64,0,0,3.28,54.18,0,0.82,0,0,0,3.28,3.28,0,0,6.57,0,0,0.82,0,139.55
 36-46,0,0,0,1.61,1.61,0,60.43,0,0,1.61,4.03,0,0.81,0,0,0,0.81,0,7.25,0,2.42,0,0,0.81,46.73,0.81,0.81,0,0,0,2.42,1.61,0,0,6.45,0,0,0.81,0,251.37
 48-58,0,0,0,0.57,0,0,271.41,0,0.57,0.57,2.3,0,6.89,0,0,0,1.72,0,4.02,0,5.74,0,0,1.72,27.54,0,0,0,0,0,0.57,0.57,0,0,8.61,0,0,0,0,231.24
 60-70,0.98,0,0,3.93,0,0,1075.75,0,0,0.98,7.85,0,2.94,0,0.98,0,0,0,1.96,0,6.87,0,0.98,0,66.74,0,0,0,0,0,0.98,8.83,0,0,7.85,0,0,0,0,143.3
 72-82,0,2.94,0,24.54,5.89,0.98,1575.57,3.93,0.98,8.83,23.56,6.87,4.91,1.96,2.94,1.96,4.91,0.98,2.94,1.96,54.97,1.96,1.96,8.83,178.66,1.96,1.96,2.94,0,0.98,9.82,14.72,0.98,0,17.67,2.94,1.96,8.83,5.89,61.84
 84-94,0,2.12,0,32.92,13.81,0,1855.38,2.12,3.19,2.12,27.61,8.5,1.06,0,6.37,3.19,11.68,3.19,0,1.06,45.67,1.06,4.25,8.5,111.51,4.25,3.19,2.12,0,0,22.3,31.86,1.06,0,7.43,3.19,0,4.25,0,40.36
 96-106,0,1.09,0,52.46,28.41,2.19,1543.1,5.46,7.65,3.28,30.6,4.37,0,1.09,15.3,6.56,5.46,2.19,9.84,0,64.48,3.28,7.65,6.56,186.88,3.28,5.46,4.37,0,0,34.97,24.04,2.19,0,7.65,2.19,3.28,10.93,2.19,15.3
108-118,1.53,2.3,0,30.64,14.55,5.36,1141.28,1.53,6.13,2.3,35.23,9.19,0,0.77,3.83,3.06,6.13,2.3,6.13,1.53,75.06,1.53,3.83,7.66,232.09,2.3,3.83,5.36,0,0.77,26.04,34.47,1.53,0,5.36,1.53,1.53,5.36,0.77,16.09
120,0,0,0,39.2,19.6,0,1371.85,0,13.72,3.92,25.48,5.88,0,1.96,3.92,3.92,5.88,1.96,5.88,0,80.35,1.96,1.96,7.84,213.62,9.8,3.92,1.96,0,0,23.52,17.64,1.96,0,7.84,0,1.96,13.72,0,7.84
