stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0.82,9.03,0,0.82,0
 36-46,0,0,0,1.61,0,0,0,0,0,0,0.81,0,0,0,0,0,1.61,0.81,12.09,0,0,0
 48-58,0,0,0,4.59,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0.57,9.18,0,0,0
 60-70,0,0,0,63.8,0,0,0,0,0.98,0,0.98,0,0,0,0,2.94,0,0,17.67,0.98,0,0
 72-82,0.98,0,0.98,65.77,0,0,0,0.98,0,0,0,0,0.98,0,0,2.94,0.98,4.91,26.5,0,0,0
 84-94,0,0,0,44.61,0,0,0,0,3.19,0,0,0,2.12,1.06,1.06,6.37,2.12,2.12,91.34,0,0,0
 96-106,0,0,0,39.34,1.09,2.19,0,0,2.19,1.09,8.74,0,0,1.09,0,1.09,2.19,2.19,57.92,0,0,1.09
108-118,0,1.53,0,36,0,0,0.77,0.77,1.53,0,3.06,0,0.77,0,0.77,3.06,3.06,3.06,65.11,0,0,0
120,0,1.96,0,33.32,0,1.96,0,0,0,0,0,1.96,1.96,1.96,0,3.92,1.96,0,52.91,0,0,0
