stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,22.03,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6,3,0,111,0,0,0,2,1,1,18,0,0,0,95,0,42,86,2,0,1,0,1,0,0,1,5,0,0,0,0
 24-34,0.82,0,0,0,3.28,0.82,0,160.07,0,0,0,4.1,0,0,20.52,0,0,0,100.14,1.64,24.63,99.32,0.82,0,0,0.82,1.64,0,1.64,2.46,8.21,0,0.82,0,0
 36-46,0,0,0,0,2.42,0,0,99.1,0,0,0.81,0,0,0,21.75,0,0,0,149.05,0.81,5.64,37.06,0,0,0,0,0,0,0,0,4.03,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,90.66,0,0.57,11.48,2.3,0,0,9.18,0,0.57,0,153.21,1.15,3.44,32.13,0,0,0,1.72,0,0,0,0,2.87,0,0,0,1.15
 60-70,0,0,0.98,0,0.98,0,0.98,111.89,0,0,16.69,3.93,0,0,5.89,0,0,0,167.84,0.98,5.89,21.59,0,0,0,0.98,0,0,0,0,0.98,0,0,0.98,0
 72-82,0,0,0,0,1.96,0,0,92.28,0.98,1.96,31.41,3.93,0,0,4.91,0,0,0,303.33,0,0.98,15.71,0,0.98,0,0,0,0,0,0,1.96,0,1.96,1.96,0
 84-94,0,0,0,0,0,1.06,0,81.78,0,1.06,31.86,3.19,0,0,6.37,0,1.06,0,235.77,1.06,2.12,5.31,0,0,0,0,0,1.06,0,0,0,1.06,0,1.06,0
 96-106,0,0,0,0,3.28,1.09,0,39.34,1.09,0,22.95,4.37,0,0,6.56,2.19,0,0,197.81,0,0,8.74,0,0,0,0,0,0,0,0,0,0,2.19,3.28,1.09
108-118,0,0,0,0,6.13,0.77,0,32.94,0.77,1.53,22.21,4.6,0,0,4.6,1.53,0,0.77,165.45,1.53,0,5.36,0,0.77,0,2.3,0.77,0,0,0,0,0.77,0,1.53,0.77
120,0,0,0,0,0,0,0,15.68,0,1.96,7.84,3.92,0,0,5.88,0,0,0,156.78,0,0,17.64,0,0,0,0,3.92,0,0,0,0,0,0,0,0
