stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,12.59,0,6.29,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,1,2,0,0,1,1,1,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,1.15,0,0,0,0,1.15,0
 60-70,0,0,0,0,0,0,0,0,0.98,0,2.94,0,0,1.96,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,0,0,0,0.98,0,3.93,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,1.06,0,0,0,0,5.31,0,0,1.06
 96-106,0,0,0,0,3.28,0,1.09,0,1.09,0,0,0,0,9.84,0,0,1.09
108-118,0,0.77,0,0,0,0.77,0,0.77,0,0,0,0,0,4.6,0,0,0.77
120,0,3.92,1.96,0,0,0,0,1.96,0,0,0,0,0,5.88,0,0,0
