stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,2.63,0,15.77,0,0,0,0,0,0,0,0
 10-12,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,9.44,0,47.2,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,18,0,0,2,0,0,0,1,0,0,0,0,61,0,0,0,0,3,8,0,0,23,0,0,0,0,0,670,1,0,0,0,0,0,0,0
 24-34,0,0,0,18.06,0,0,8.21,0,1.64,0,0,2.46,0.82,0.82,0.82,141.19,0,0,1.64,0,9.03,40.22,0,3.28,85.37,0.82,4.93,0.82,0,0,1181.21,0,3.28,7.39,0,0,0.82,0,0
 36-46,0,0,0,9.67,0,0,7.25,0.81,2.42,0,4.03,4.03,0,0,0,59.62,0,1.61,0.81,0,4.03,34.64,0,0.81,111.18,0.81,6.45,1.61,0,0,1238.31,0,1.61,11.28,0,0,2.42,0,0.81
 48-58,0,0,0,20.08,0.57,0,16.07,0,21.23,1.72,4.59,2.3,20.66,0,0,27.54,0,0,1.15,0,8.03,31.56,0.57,2.3,75.17,0,6.89,0,0,0,1250.89,0,1.15,8.61,0,0,0,0,0
 60-70,0,0,0,35.33,0.98,0,14.72,0,15.7,0,3.93,2.94,20.61,0,0,37.3,0,0,0,0.98,7.85,30.43,0,0.98,52.02,0,14.72,0,0,0,1173.9,0,2.94,3.93,1.96,0,1.96,0,1.96
 72-82,0,0,0,70.68,2.94,0,24.54,0,28.47,0,5.89,11.78,13.74,0.98,1.96,87.37,0,6.87,2.94,0.98,13.74,56.94,0.98,1.96,50.06,0,14.72,1.96,0,0,1259.47,0,0.98,2.94,24.54,0,2.94,1.96,0
 84-94,0,1.06,0,170.99,1.06,0,14.87,0,95.58,0,3.19,26.55,18.05,0,3.19,161.43,0,4.25,0,0,9.56,72.22,0,3.19,41.42,0,48.85,2.12,0,1.06,3615.18,0,12.74,6.37,80.71,1.06,5.31,0,2.12
 96-106,0,1.09,0,312.55,9.84,1.09,30.6,0,114.75,0,14.21,75.41,2.19,0,3.28,220.76,0,21.86,6.56,0,18.58,123.49,1.09,2.19,88.52,0,80.87,0,0,1.09,3353.95,0,2.19,0,158.46,2.19,3.28,1.09,4.37
108-118,0,0,0.77,265.79,0.77,0,13.02,0.77,144,0.77,3.83,112.6,0.77,0,4.6,202.21,0.77,17.62,9.96,0,9.96,89.62,0.77,4.6,64.34,0.77,52.09,0,0,1.53,2945.13,0,11.49,0,170.04,0.77,6.13,1.53,7.66
120,0,0,0,194.02,1.96,1.96,1.96,0,70.55,0,1.96,62.71,1.96,0,3.92,96.03,0,17.64,9.8,0,7.84,50.95,1.96,0,68.59,1.96,27.44,0,0,0,1587.43,0,5.88,0,60.75,0,0,0,5.88
