stage,axial,epidermis,erythrocytes,eye,fin.mesenchyme,melanocytes,mesenchyme,muscle,neural,periderm,spinal.cord,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,1.61,0,0,0,0
 48-58,0,0,0,0.57,0,0,1.15,0,2.87,0,0.57,0,0
 60-70,0,0,0,2.94,0,0,0.98,0,0.98,0,0,0,0
 72-82,0,0,0,0.98,0,0.98,0,0.98,4.91,0,1.96,0,0.98
 84-94,0,0,0,1.06,0,0,0,1.06,3.19,1.06,0,1.06,0
 96-106,0,0,0,1.09,0,0,1.09,0,2.19,0,0,0,0
108-118,0,0,0,0,0.77,0,0.77,0,0,0,0,0,0
120,0,0,1.96,0,0,0,0,1.96,1.96,0,0,0,0
