stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,2,4,101,21,0,26,0,2,0,3,6,3,2,0,4,0,0,1,1,40,0,0,30,412,18,4,4,12,0,9,2,55,5,4,55,138,0,0,5,0,3
 24-34,0.82,4.1,65.67,4.93,0,106.71,0,5.75,0.82,18.88,3.28,0.82,3.28,5.75,20.52,0,5.75,2.46,20.52,65.67,2.46,0,36.94,989.13,9.85,21.34,9.85,0,0,64.03,0,0.82,8.21,2.46,13.95,274.99,0,0,31.19,0,11.49
 36-46,0.81,0,21.75,3.22,0,231.23,0.81,2.42,7.25,48.34,0.81,0,4.83,11.28,7.25,3.22,4.03,1.61,41.09,99.1,2.42,0.81,35.45,1410.73,10.47,18.53,6.45,0,0,59.62,0.81,0,5.64,4.03,0,354.49,0,0.81,29.81,0,15.31
 48-58,1.15,0.57,24.67,3.44,0,452.73,1.15,6.31,12.05,105.01,0,1.72,3.44,7.46,4.59,6.31,2.87,1.15,37.3,167.55,4.59,3.44,31.56,1263.52,5.74,10.33,12.05,0,1.72,48.2,0,0,4.59,1.15,0,269.11,0,1.15,24.67,0,28.69
 60-70,0,0,24.54,6.87,0,707.68,0.98,12.76,5.89,151.15,8.83,0,3.93,15.7,1.96,16.69,5.89,1.96,19.63,220.84,6.87,8.83,24.54,1379.04,2.94,14.72,3.93,0,3.93,71.65,0,0,5.89,0,0,208.08,0,6.87,14.72,1.96,34.35
 72-82,4.91,0,37.3,37.3,0.98,570.35,0.98,5.89,10.8,198.3,21.6,1.96,4.91,23.56,8.83,23.56,4.91,5.89,23.56,341.62,7.85,14.72,33.38,1175.05,1.96,19.63,10.8,0,2.94,72.64,0.98,0,2.94,0.98,0,85.4,5.89,8.83,37.3,8.83,19.63
 84-94,5.31,0,63.72,33.99,3.19,429.06,4.25,5.31,6.37,116.82,55.23,3.19,2.12,31.86,14.87,24.43,7.43,4.25,37.17,193.29,3.19,9.56,20.18,517.21,6.37,19.12,15.93,0,2.12,175.24,0,0,9.56,2.12,0,58.41,8.5,3.19,31.86,11.68,20.18
 96-106,3.28,1.09,65.57,36.06,4.37,304.9,2.19,13.11,6.56,115.84,46.99,0,1.09,43.71,18.58,27.32,12.02,4.37,34.97,161.74,3.28,8.74,20.76,390.15,8.74,20.76,26.23,0,3.28,134.42,0,0,7.65,0,0,25.14,10.93,7.65,37.16,13.11,18.58
108-118,1.53,0,81.96,23.74,5.36,242.04,1.53,19.15,5.36,96.51,48.26,0,2.3,35.23,11.49,41.36,6.89,10.72,35.23,122.55,7.66,11.49,12.26,458.81,4.6,10.72,18.38,0,1.53,104.17,0,0,7.66,0,0,13.02,13.02,3.83,25.28,6.89,17.62
120,1.96,0,90.15,27.44,3.92,184.22,11.76,23.52,7.84,88.19,47.03,0,9.8,41.16,17.64,7.84,17.64,1.96,15.68,103.87,5.88,1.96,13.72,386.08,13.72,11.76,25.48,0,1.96,99.95,0,0,15.68,0,0,19.6,9.8,1.96,29.4,3.92,11.76
