stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,1,0,0,2,0,0,1,0,0
 24-34,0,0,0.82,4.1,0.82,0,3.28,0,0,0,0,0,0,0,1.64,0,0,0.82,0,3.28,0,0,1.64,10.67,0,0,0,0,0,5.75,0,1.64,2.46,0,0,3.28,0,0.82
 36-46,0,0,0,0.81,1.61,0,2.42,0,0.81,0,0,0,0,0.81,0,0,0,0,0,8.86,0,0,3.22,8.86,0.81,0,0,0,0,5.64,0,0,2.42,0,0,1.61,0,0.81
 48-58,0,0,0,0,3.44,0,4.02,0,0.57,0.57,0.57,0,0,0,1.15,0.57,0,0,0.57,8.03,0,0,1.72,5.16,0,0,0.57,0,0,5.16,0,0,1.72,0,0,2.87,0,4.02
 60-70,0,0,0,5.89,15.7,0,2.94,0.98,0.98,1.96,7.85,0,0,1.96,0,0,0.98,0,2.94,22.58,0.98,0,1.96,6.87,0,0,0.98,0,0,4.91,0,0,3.93,0,0,3.93,0,5.89
 72-82,0,0,0,0.98,74.61,0,7.85,0,0,3.93,14.72,0,0.98,0,0,2.94,0.98,1.96,3.93,39.27,0.98,0,1.96,10.8,0,0,0,0,0,7.85,0,0,2.94,0.98,0.98,3.93,0.98,3.93
 84-94,0,0,0,6.37,74.34,0,7.43,0,3.19,1.06,7.43,2.12,1.06,2.12,2.12,6.37,0,4.25,2.12,15.93,1.06,3.19,1.06,10.62,0,1.06,1.06,0,0,23.36,1.06,0,1.06,0,0,2.12,0,6.37
 96-106,0,1.09,0,3.28,57.92,0,6.56,0,0,1.09,12.02,4.37,2.19,1.09,3.28,2.19,2.19,1.09,1.09,29.51,3.28,3.28,0,10.93,0,2.19,1.09,0,0,10.93,0,0,1.09,0,1.09,4.37,3.28,9.84
108-118,0,0,0,10.72,38.3,0,9.19,1.53,1.53,0.77,17.62,7.66,0,1.53,1.53,4.6,0,0.77,3.06,32.17,0,1.53,0,10.72,0.77,0.77,0,0,0,8.43,0,0,0,0.77,0.77,6.89,0,8.43
120,0,0,0,7.84,48.99,1.96,1.96,5.88,1.96,0,7.84,1.96,1.96,5.88,3.92,0,0,0,5.88,11.76,0,0,1.96,9.8,0,1.96,0,0,1.96,9.8,0,0,1.96,1.96,1.96,1.96,1.96,0
