stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,pericytes,periderm,presomitic.mesoderm,spinal.cord,taste,vascular.smooth.muscle
 10-12,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,34,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0
 24-34,0,23.8,0,0,0,0.82,0,0,0,2.46,0,27.91,0.82,0,0,0.82,0,0,0
 36-46,0,6.45,0,0,0,0,0,0,0,4.83,0,33.03,0.81,0,0,0,0.81,0,0.81
 48-58,0,10.33,0,1.15,0,3.44,0.57,0,0.57,15.49,0,12.62,2.87,0,0,0,1.15,0,0
 60-70,0,7.85,0,1.96,0,0.98,0,0,0,11.78,0,4.91,2.94,0,0,0,0,0,0
 72-82,0,13.74,0,1.96,0,0,0,0,0,27.49,0,7.85,2.94,0,0,0,0,1.96,0
 84-94,0,24.43,0,2.12,0,1.06,1.06,0,0,16.99,0,4.25,1.06,0,0,0,0,1.06,0
 96-106,0,24.04,1.09,3.28,0,2.19,0,0,0,19.67,0,1.09,0,0,0,0,0,4.37,0
108-118,0,16.85,0,0.77,0,0,0,1.53,0,19.15,0,4.6,2.3,0.77,0.77,0,0,6.13,0
120,0,19.6,0,1.96,1.96,0,0,3.92,0,11.76,1.96,1.96,5.88,0,0,0,0,1.96,0
