stage,axial,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,7,12,12,0,17,0,0,0,2,1,25,0,1,0,2,51,0,59,151,2,1,1,3,0,2,304,3,491,2684,66,0,2,0,1
 24-34,0,1.64,2.46,1.64,0,14.78,180.59,0.82,0,1.64,0.82,10.67,0.82,0.82,0,0.82,13.13,0.82,42.68,106.71,0.82,1.64,0,0,0,11.49,4.93,3.28,161.71,719.07,31.19,0,1.64,0,0.82
 36-46,0,1.61,0.81,0.81,0,9.67,183.69,0,0,0.81,0,8.06,0,0,0,0,6.45,0,29,40.28,0,0,0.81,0,0,0.81,0,0,48.34,37.06,5.64,0,1.61,0,0
 48-58,0,1.15,0.57,0,0,17.21,125.09,0,0,2.87,0,4.02,0.57,0,0,0,4.59,0,58.53,35.58,0,0,3.44,0,0,0.57,0,0.57,35.58,0.57,11.48,1.15,1.15,0,0.57
 60-70,0,0,0,0,0,9.82,79.5,0,0,1.96,0,3.93,0,0,0,0,2.94,0,48.09,27.48,0,0,0.98,0,0,0,0.98,0.98,21.59,0,4.91,0.98,0,0,0
 72-82,0,0.98,1.96,0,0,11.78,65.77,0,0,5.89,0,2.94,0,0,0,0,9.82,0,45.16,31.41,0,0,1.96,0,0,0,0,0.98,10.8,0,1.96,4.91,0,0.98,0
 84-94,0,0,3.19,2.12,0,8.5,70.09,0,0,1.06,1.06,5.31,0,1.06,1.06,0,12.74,0,50.98,12.74,0,0,2.12,0,0,1.06,0,0,14.87,0,3.19,2.12,0,2.12,0
 96-106,0,1.09,0,1.09,0,13.11,90.71,0,0,1.09,2.19,9.84,2.19,0,0,0,6.56,0,48.09,22.95,1.09,0,0,0,1.09,2.19,0,0,17.49,0,1.09,3.28,4.37,0,3.28
108-118,0,0,2.3,3.06,1.53,7.66,73.53,0,1.53,3.06,2.3,3.06,0,0.77,0,2.3,4.6,0,57.45,22.98,0,0,1.53,0,0,3.06,0,0,17.62,0,0,3.83,0.77,0.77,0.77
120,0,0,3.92,0,1.96,0,52.91,0,0,1.96,3.92,3.92,0,0,0,5.88,3.92,0,64.67,25.48,0,3.92,0,0,0,1.96,1.96,1.96,11.76,0,0,0,0,0,1.96
