stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 14-21,4,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,12,0,0,0,0,0,1,0,0,1,9,0,0,0
 24-34,0.82,0,3.28,0,0,0,0,0,0,0,0,0,0,0,2.46,0,1.64,32.01,0,0,0,0,0,0,0,0,0,5.75,0,0,0
 36-46,0,0,4.83,0,0,0,0.81,0,0,0.81,0.81,0.81,0,0.81,2.42,0,0.81,36.26,0,0,0,0,0.81,0,0,0,0,8.06,0,0,0
 48-58,0,0,6.89,0,0,0.57,1.72,0,0,0,0,0,0,0,1.72,0,1.15,25.25,0,0.57,0.57,0.57,0,0,0.57,0,0,4.59,0,0,0.57
 60-70,0,0,15.7,0,0,0,3.93,0,0,0.98,0.98,0,0.98,0,6.87,0.98,0.98,22.58,0,0,0,0,0,0,0,0.98,0,7.85,0,0,1.96
 72-82,0.98,3.93,13.74,0,0,0,1.96,0.98,0,0,0,0.98,0,0,6.87,0,1.96,19.63,0.98,0,0.98,0,0,0,0,0,0,2.94,0,0.98,0
 84-94,1.06,0,6.37,0,0,0,2.12,1.06,0,0,0,0,0,0,2.12,1.06,0,11.68,0,0,0,0,0,0,1.06,0,0,0,0,1.06,0
 96-106,1.09,3.28,5.46,0,0,0,2.19,0,0,0,1.09,2.19,0,0,2.19,0,1.09,9.84,0,2.19,1.09,0,1.09,0,0,0,0,0,0,0,1.09
108-118,1.53,0.77,5.36,0.77,0.77,0,3.83,0.77,0,0,0,0,0,0,3.06,0,2.3,9.96,0,0,0,0,0,0,0.77,0,0,0,0.77,0,0.77
120,1.96,0,3.92,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,11.76,0,0,0,0,0,0,0,0,0,0,0,1.96,0
