stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,9,3,6,0,1,0,0,0,1,4,0,0,0,0,0,1,1,0,0,45,0,0,0,1,1,1,31,0,1,17,0,0,1,0,0
 24-34,0,0,5.75,5.75,3.28,0,0,1.64,0,0,0,2.46,3.28,0.82,0,0,0,0,0,0,0,2.46,36.94,0.82,0,0,0,0.82,0,66.49,0.82,0,15.6,0,0,4.1,0,0
 36-46,0,0,0,0,0.81,0,0,0.81,0,0,0,4.03,0,0,0,0,0,1.61,0.81,0.81,0,0.81,17.72,0,0,0.81,0,1.61,0,47.53,0,0,6.45,0,0,1.61,0,0
 48-58,0,0,2.3,0,0.57,0,0,1.72,0,0,0,2.87,0,0,0,0,0,0,2.3,1.72,0,0.57,6.89,0,0,0,0,0.57,0,31.56,0,0,2.87,0,0.57,0.57,0,0
 60-70,0,0,2.94,0,0,0,0,2.94,0,0,0,2.94,2.94,0.98,0,0,0.98,0,6.87,2.94,0,0,10.8,0,0,0.98,0,0,0,45.15,0,0,1.96,0,0,5.89,0,0
 72-82,0,0,8.83,2.94,2.94,0,0,6.87,0,0,0,5.89,16.69,0,0.98,0,0.98,0,3.93,6.87,1.96,0.98,20.61,0.98,0.98,0.98,0,1.96,0,81.48,0,0,1.96,0,0,0.98,0,0
 84-94,0,0,10.62,7.43,1.06,0,0,6.37,0,0,1.06,5.31,21.24,1.06,0,0,0,0,16.99,5.31,0,2.12,16.99,0,0,0,0,0,0,159.31,0,0,2.12,0,0,4.25,0,1.06
 96-106,0,0,21.86,12.02,4.37,3.28,0,6.56,1.09,1.09,1.09,6.56,46.99,0,1.09,1.09,1.09,0,16.39,8.74,0,1.09,26.23,0,0,0,1.09,5.46,0,171.58,0,0,0,1.09,1.09,6.56,0,1.09
108-118,0,0,14.55,14.55,1.53,1.53,0,6.13,0.77,0,0,3.83,22.98,0,1.53,0.77,0,0,21.45,12.26,0,1.53,22.98,0,0,0.77,0,1.53,0,160.85,0.77,0,0.77,0,0,3.06,0.77,0.77
120,1.96,0,17.64,5.88,3.92,1.96,1.96,7.84,0,1.96,0,9.8,17.64,0,1.96,0,0,0,15.68,5.88,0,1.96,21.56,0,0,5.88,0,1.96,0,111.71,0,0,0,0,1.96,1.96,0,0
