stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,25,0,0,3,0,0,0,1,0,0,0,0,8,0,0,0,1,6,1,0,2,12,21,1,0,2,0,70,2,0,0,2,5,0,0,0,0,1
 24-34,0,0,0,50.89,0.82,0,27.09,0,0,0,0,0,0,12.31,0,4.93,0.82,0,0,11.49,12.31,3.28,0,2.46,37.76,1.64,10.67,5.75,0,0,82.09,0,0,0,0.82,4.93,0,0,1.64,0,0.82
 36-46,0,0,0,29.81,0,0,23.36,0,0.81,0.81,0.81,0,0,18.53,0,0,0,0,0,4.03,13.7,0.81,1.61,2.42,42.7,0.81,5.64,2.42,0,0,37.87,0,0,0,0,7.25,0,0,0.81,0,0.81
 48-58,0,0,0,33.28,0,0,31.56,0,0,12.05,10.9,0.57,0.57,8.03,0.57,0.57,0,1.15,0,1.15,41.31,1.15,0.57,1.15,39.02,0,1.72,2.87,0,0,17.21,0,0,0,0,3.44,0,0.57,1.15,0,0.57
 60-70,0,0,0,80.48,0,0,86.37,0,1.96,19.63,51.04,0,0,5.89,0,0.98,0.98,0.98,0,1.96,86.37,0,0,0.98,53,0,4.91,0.98,0,0.98,23.56,0,0.98,0,0,5.89,0,0.98,0.98,0.98,0
 72-82,0,0,0,86.39,4.91,0,228.73,0.98,2.94,39.27,192.41,0,0,3.93,0.98,1.96,0,3.93,0,0,288.61,3.93,2.94,8.83,106.02,0,2.94,8.83,0,0,76.57,0,0,0,0,2.94,0.98,9.82,2.94,2.94,2.94
 84-94,0,0,0,195.41,2.12,0,229.4,4.25,8.5,25.49,150.81,2.12,0,5.31,0,3.19,0,0,2.12,1.06,255.95,7.43,1.06,2.12,70.09,0,12.74,3.19,0,1.06,288.87,0,1.06,1.06,0,2.12,0,8.5,2.12,3.19,0
 96-106,1.09,0,1.09,436.05,13.11,2.19,346.43,3.28,17.49,19.67,297.25,7.65,0,13.11,7.65,3.28,1.09,2.19,12.02,0,393.42,6.56,1.09,7.65,154.09,0,17.49,17.49,0,2.19,456.81,0,2.19,0,0,6.56,2.19,26.23,7.65,3.28,2.19
108-118,0,0,0,566.81,5.36,3.06,356.94,8.43,36,27.57,278.04,4.6,0,9.19,3.83,6.89,1.53,4.6,5.36,0.77,386.81,9.19,1.53,9.96,134.04,3.06,9.96,16.85,0,4.6,702.39,0,0,0.77,0,3.83,3.06,18.38,3.06,1.53,0.77
120,0,0,0,342.96,7.84,3.92,339.04,7.84,19.6,21.56,211.66,3.92,0,3.92,3.92,0,1.96,5.88,7.84,3.92,358.64,1.96,1.96,9.8,152.86,1.96,13.72,7.84,0,3.92,362.56,0,0,1.96,0,3.92,3.92,29.4,5.88,1.96,1.96
