stage,axial,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,0,1,1,2,1,0,5,6,0,0,0,0
 24-34,0,3.28,0.82,1.64,0,0,0,0.82,1.64,0,0,0,0,0,0.82,8.21,0,0,1.64,14.78,0,0,0,0,0.82,0,0,0,6.57,0,1.64,0,0
 36-46,0,0,0,1.61,0.81,0.81,0,1.61,0,0,0,0,0,0.81,0,8.06,0,0,1.61,26.59,0.81,0,0,0,3.22,0,0,0,8.06,0,0.81,0,0
 48-58,0,0,0,1.15,0,0,0.57,3.44,0,0,0,0,0,0,0,6.31,0,0,0.57,8.61,0.57,0,0,0,3.44,0,0.57,0,2.87,0,0,0,0
 60-70,0,0,0,2.94,0,0,0,1.96,0,0,0,0,0,0,0.98,1.96,0.98,0,0.98,14.72,0,0.98,0,0,1.96,0,0,0,1.96,0,0,0,0
 72-82,0,2.94,0,9.82,0.98,0.98,0.98,8.83,0,0,0.98,0,0.98,0,0,16.69,0,0.98,0,40.25,0,0.98,0.98,0,3.93,0,0,0,2.94,1.96,3.93,0.98,0.98
 84-94,0,1.06,0,1.06,0,2.12,2.12,2.12,0,1.06,0,0,0,0,0,6.37,0,0,0,16.99,0,0,1.06,0,10.62,0,0,0,1.06,0,2.12,0,0
 96-106,0,0,0,3.28,1.09,1.09,0,2.19,0,0,0,0,0,0,0,3.28,0,0,1.09,10.93,0,0,1.09,0,10.93,0,0,0,0,0,0,0,0
108-118,0,1.53,0.77,2.3,0,0,0,0.77,0,0,0,0,0.77,0,0.77,3.83,0,0,0,9.96,0,0,1.53,0,5.36,0,0,0,0.77,0,0.77,0,0
120,0,1.96,0,3.92,0,0,0,0,0,0,0,3.92,0,0,0,5.88,0,0,0,7.84,0,0,0,0,1.96,0,0,0,0,0,0,0,0
