stage,axial,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,7,3,2,0,0,0,2,1,1,0,0,1,0,1,1,0,1,34,1,0,0,3,5,5,17,0,0,0,0
 24-34,0,0,2.46,0,4.93,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,39.4,0,0.82,0,0,0,0.82,9.03,0,0,0,0
 36-46,0,0,0,0,6.45,0.81,0,0.81,1.61,0,0,0,0,0,0,0,4.03,0,0.81,21.75,0,0.81,0,3.22,0,0,4.83,0,0.81,0,0
 48-58,0,0,0.57,0,5.16,0,0,0,4.02,0,0,0.57,0,0,0,0,2.3,0,0.57,14.35,0,0,0.57,0.57,0,0,5.74,0,1.15,0,0.57
 60-70,0,0,1.96,0,13.74,0,0,0,3.93,0,0,0,0,0,0,0,1.96,0,0.98,18.65,0,0,0.98,1.96,0,0,3.93,0,0.98,0,0
 72-82,0,0,0,1.96,8.83,0,0,0,1.96,0,0,0,0,0,0.98,0,9.82,0,0,18.65,0,0.98,0.98,0,0,0,2.94,0,3.93,0,0
 84-94,0,0,0,1.06,6.37,1.06,0,0,0,0,1.06,1.06,0,0,0,0,5.31,0,0,8.5,0,0,1.06,2.12,0,0,1.06,0,0,1.06,0
 96-106,0,0,0,0,5.46,0,0,0,6.56,0,0,0,1.09,1.09,0,0,7.65,1.09,0,8.74,0,0,0,2.19,0,0,1.09,1.09,0,0,0
108-118,0,0,3.83,0,9.19,0.77,0.77,0,3.06,0,0,0,0,0,0.77,0,3.83,0,0.77,13.02,0,0,0,3.06,0,0,0,0,0.77,0,0
120,0,0,0,0,5.88,0,0,0,3.92,0,0,0,0,0,0,0,1.96,0,0,5.88,0,0,1.96,0,0,0,0,0,0,0,0
