stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.51,0,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294.42,13.14,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.99,3.15,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,2,0,0,0,5,0,0,0,0,0,0,2,0,0,2,89,0,1,2,2,0,0,0,0,2,63,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,11.49,0,0,0,4.1,0,0,0,0,0,0,4.93,0,0,3.28,322.6,2.46,1.64,3.28,0,0,1.64,0,0.82,0,80.44,0,0,0,0,0
 36-46,0,0,0.81,0,0.81,0,34.64,0,0,0,19.34,0,0,0,0,0,0,12.89,0,0.81,2.42,729.94,0,1.61,0.81,0,0,1.61,0,0,0,194.17,0,0,0,0,0.81
 48-58,0,0,0,0,2.3,0,75.74,0,0,0,43.04,0,0,0,0,0,0.57,10.9,0,0,1.15,570.36,0,1.15,2.3,0,0,1.15,0,0,0,158.94,0,0,0.57,0,0.57
 60-70,0,0,0,0,0.98,0.98,130.54,0,0.98,0,73.61,0,0.98,0.98,0,0,0,22.58,0,0,2.94,771.48,0.98,1.96,0,0,0,0.98,0,0,0,130.54,0,0,0,0,0
 72-82,0,0,1.96,0,5.89,0.98,76.57,0,0,0.98,93.26,0,0.98,0.98,0,0,0,24.54,0,0,0,382.85,0,0.98,0.98,0,0,0,0.98,0,0,46.14,0.98,0.98,0,0,0.98
 84-94,0,0,1.06,0,2.12,1.06,58.41,0,0,1.06,50.98,0,1.06,0,0,0,0,15.93,0,0,2.12,209.22,0,1.06,0,0,0,1.06,0,0,0,33.99,0,0,2.12,1.06,0
 96-106,0,0,0,0,4.37,0,51.36,0,0,0,60.11,2.19,0,0,1.09,1.09,0,25.14,0,1.09,2.19,139.88,0,0,2.19,0,0,2.19,0,0,0,16.39,0,0,0,0,0
108-118,0,0,1.53,0.77,3.83,0,36.77,0.77,0,2.3,44.43,0.77,0.77,0.77,0,0,0,22.21,0,0,0,185.36,0,0.77,1.53,0,0.77,0,0,0,0,9.96,0.77,0,0,0,0
120,0,0,0,0,3.92,1.96,56.83,0,0,0,47.03,0,0,0,0,0,0,3.92,1.96,1.96,0,195.98,0,0,3.92,0,0,0,0,0,0,5.88,1.96,0,0,0,0
