stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,9.44,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,6.29,0,0,15.73,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,4,18,0,0,0,0,0,2,0,0,1,17,0,2,0,0
 24-34,0,0.82,0.82,0.82,0,0,4.1,0,0,1.64,1.64,0,0,0,0.82,0,0,0,6.57,0,5.75,60.74,0,0,0,0,0.82,0.82,0,0,0.82,18.06,0,9.85,0,0.82
 36-46,0,0,0,0,0,0,7.25,0.81,0,1.61,2.42,0,0,0,0,0,0,0,8.06,0,3.22,109.57,0,3.22,0.81,0,0,0,0.81,0,0,20.95,0,3.22,0,0
 48-58,0,0,0,0.57,0,0,21.23,0,0.57,0.57,4.02,0,0.57,0,0,0,0.57,1.15,12.05,1.15,1.15,66.56,0.57,0,0,0,0.57,0,0,0,0,14.35,0,0.57,0,0
 60-70,0,0,0,0.98,0,0,28.46,0,0,0.98,10.8,0,0,0,0,0,0,0,24.54,0,5.89,69.69,0,0,0,0,1.96,0,0,0,0,16.69,0,2.94,0,1.96
 72-82,0,0,0,1.96,0,0,28.47,0,0,0,9.82,0.98,1.96,0,0,0,1.96,0,30.43,1.96,0.98,74.61,0.98,0.98,0.98,0,0,0,0,1.96,0,3.93,0.98,1.96,0,2.94
 84-94,0,0,0,2.12,0,0,18.05,0,0,1.06,4.25,0,0,0,1.06,0,0,0,22.3,2.12,2.12,35.05,3.19,0,1.06,0,2.12,0,0,0,0,3.19,0,1.06,1.06,0
 96-106,0,1.09,0,1.09,0,0,15.3,0,0,0,10.93,0,0,0,0,1.09,0,0,20.76,0,3.28,31.69,0,0,0,0,1.09,0,0,0,0,4.37,1.09,2.19,0,0
108-118,0,0,0,3.06,0.77,0,14.55,0.77,0,0.77,3.83,0,0,0.77,1.53,0,0,0,12.26,0,2.3,43.66,0,0,0.77,0,3.06,0,0,0.77,0,1.53,0,3.83,0.77,0
120,0,1.96,0,0,0,1.96,11.76,1.96,0,0,3.92,1.96,0,0,0,1.96,0,0,7.84,1.96,0,45.08,0,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0
