stage,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,26.29,0,0,13.14,0,0,0,0
 10-12,6.29,6.29,0,6.29,0,0,0,0,0,0,116.44,0,0,3.15,0,0,0,0
 14-21,0,0,3,3,0,0,1,1,0,1,107,1,5,0,0,23,0,0
 24-34,0,0,2.46,13.13,0,2.46,2.46,0.82,0,0.82,246.26,5.75,1.64,0,0,47.61,0,0
 36-46,0,0,3.22,16.92,0,16.92,0,0.81,0,0,309.38,4.03,1.61,0,0,87.82,0,0
 48-58,0,0,0,28.12,0,16.07,0,0.57,0.57,0,139.43,0,0.57,0,0,48.2,0,0
 60-70,0,0,1.96,25.52,0.98,17.67,0.98,1.96,0,0,93.24,0.98,0.98,0,0.98,23.56,0,0
 72-82,0,0,0,5.89,0,9.82,0,0,0,0,37.3,0,0,0,0,11.78,0,0
 84-94,0,0,1.06,5.31,0,9.56,0,1.06,0,0,27.61,2.12,1.06,0,0,7.43,1.06,0
 96-106,0,0,0,4.37,0,9.84,1.09,0,0,0,15.3,2.19,0,0,0,0,0,0
108-118,0,0,0,4.6,0,6.89,0.77,0,0,0,21.45,0,0,0,0,0.77,0,0
120,0,0,0,3.92,0,5.88,1.96,0,0,0,27.44,0,1.96,0,0,0,0,1.96
