stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,9.44,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,5,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,2,19,7,1,5,0,0,2,7,1,9,30,6,0,0,0,0
 24-34,0,0.82,4.1,0,0,11.49,9.03,1.64,0,0,0.82,0,0,0,1.64,0,0,2.46,0,4.93,0,0,10.67,46.79,0.82,0,0.82,0,0,2.46,0.82,9.85,29.55,17.24,13.13,0,3.28,0,0
 36-46,0,0,1.61,0,0,10.47,12.09,1.61,0,3.22,0.81,0,0.81,0,0.81,0,0,0.81,0,5.64,0,0,6.45,37.06,1.61,1.61,0.81,0,0,5.64,0,8.86,45.12,1.61,6.45,0.81,0,0,0
 48-58,0,0,2.3,0,0,20.08,18.94,0,0,8.61,1.15,0,0,0,0,0,0,0.57,0.57,4.59,0.57,0,5.74,37.87,0.57,0.57,0,0,0,3.44,0,9.75,39.02,0,9.75,0,2.87,0,1.72
 60-70,0,0,0.98,0,0,50.06,9.82,2.94,1.96,14.72,2.94,0,1.96,0,0,0.98,0,1.96,0,16.69,0,0.98,4.91,28.46,0,0,0,0,0.98,2.94,0,18.65,27.48,0,4.91,0,0.98,0,0.98
 72-82,0,0,2.94,0.98,0,49.08,6.87,0,1.96,12.76,14.72,0,0,0,1.96,0,1.96,0,0,21.6,0,0,5.89,43.19,0,0,0.98,0,0,2.94,0,42.21,9.82,0,6.87,0,0.98,0,0.98
 84-94,0,1.06,3.19,3.19,0,103.02,9.56,1.06,0,9.56,26.55,0,0,1.06,1.06,0,0,6.37,2.12,13.81,0,0,5.31,26.55,0,1.06,0,0,0,5.31,0,91.34,23.36,0,2.12,0,4.25,0,0
 96-106,0,0,6.56,4.37,3.28,88.52,5.46,0,0,13.11,27.32,0,0,2.19,0,1.09,0,5.46,2.19,15.3,0,0,5.46,32.79,0,3.28,2.19,0,2.19,5.46,0,91.8,22.95,0,0,0,1.09,2.19,2.19
108-118,0,0,3.83,0.77,9.96,105.7,5.36,0,1.53,15.32,24.51,0,0.77,0.77,0.77,5.36,0,12.26,0.77,19.92,0,1.53,9.19,19.15,0.77,0,1.53,0,1.53,6.13,0,97.28,20.68,0,0,0,1.53,0,1.53
120,0,0,5.88,3.92,3.92,50.95,7.84,1.96,1.96,19.6,37.24,0,0,1.96,0,5.88,0,27.44,0,21.56,0,0,9.8,41.16,1.96,1.96,0,0,0,3.92,0,60.75,9.8,0,1.96,1.96,1.96,1.96,0
