stage,blastomeres,endoderm,epidermis,eye,liver,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,somites,spinal.cord
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,10.51,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,6.29,6.29,0,3.15,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,2.46,0,0,0,0.82
 36-46,0,0,0,1.61,0,0,0,1.61,0,0,0,0.81
 48-58,0,0,0,1.72,0.57,0.57,0,0.57,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,2.12,0,1.06,0,0
 96-106,0,0,0,0,0,0,1.09,1.09,0,0,0,0
