stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,immune,ionocyte,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,1,0,0,1,2,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0,3.28,14.78,0.82,0,1.64,0,0,0.82,0,0,0.82,2.46,0,0
 36-46,0,0,0,0,7.25,0,0.81,0,0,0,0.81,0.81,2.42,0.81,11.28,0,0,0,0.81,0,0,0,0,1.61,0,0,0
 48-58,0,0,0,0,3.44,0,0.57,0,0,0,0,0.57,1.15,0,7.46,0,0,0.57,0,0,0,0,0,4.02,0,0,0
 60-70,0,0,0,0,11.78,0,2.94,0,0,0,0,0,2.94,0,9.82,0,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,4.91,0,0,0,0,0.98,0,0,2.94,0,4.91,0,0,0,0,0,0,0,0,0.98,0.98,0,0
 84-94,0,0,0,0,1.06,0,0,1.06,0,0,1.06,0,2.12,1.06,4.25,0,0,0,1.06,0,0,0,0,0,1.06,0,0
 96-106,0,0,1.09,1.09,2.19,0,1.09,0,1.09,0,0,0,3.28,2.19,1.09,0,1.09,0,0,0,0,0,0,0,2.19,1.09,0
108-118,0,0.77,0,0,2.3,0.77,1.53,0,0,0,0,0,2.3,0.77,2.3,0,0,0,0.77,0,0,0.77,0,0,0,0,0.77
120,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0,1.96,5.88,0,0,0,0,0,0,0,0,0,0,0,0
