stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,1093.77,17315.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,896.1,0,0,0,0,0,0,0,0
  5-6,649.74,9746.12,6.13,0,0,0,0,0,0,12.26,0,0,0,0,0,0,165.5,0,98.07,269.7,0,0,0,0,0,0,0,0
  7-9,7.89,26.29,10.51,0,39.43,0,0,0,0,49.95,0,0,0,0,0,0,872.73,28.92,730.78,5.26,5.26,0,0,0,0,0,0,0
 10-12,0,9.44,6.29,0,6.29,0,0,0,0,18.88,0,0,0,0,0,0,62.94,6.29,110.14,0,0,0,3.15,0,3.15,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,1,0,0,0,0,6,3,8,0,0,0,0,25,1,6,45,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0.82,1.64,0,0,0,0,0,0,2.46,1.64,0.82,0.82,0
 36-46,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,1.61,0,3.22,0,0,0,0.81,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,0,1.72,0,0,0,0,0,0,0.57,0,0.57,0.57,4.59,0,0,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,2.94,0,0,0,0,0,0,1.96,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.96,0,0.98,0.98,0,0,0,0,0,0,2.94,0,7.85,0,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,1.06,2.12,0,0,0,1.06,0,0,0,0,0,1.06,0,3.19,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,1.09,0,0,1.09,1.09,0,1.09,0,0,4.37,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,4.6,0,0,1.53,0,0,0,0,1.53,0.77,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0.77
120,0,0,0,1.96,1.96,0,0,1.96,0,0,0,0,0,0,1.96,0,5.88,0,0,0,0,0,0,0,0,0,0,0
