stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0.82,0,0.82,0,0,0,4.93,0,0,0,0,0.82,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,15.31,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,4.02,0,0,1.15,0,0,0,0,0,0,35.58,0,0,0,0,2.87,0,0,0,0.57
 60-70,0,0,0,0,44.17,0.98,0,14.72,0,0,0,0,0,0,162.93,0,0,0,0.98,11.78,0,0,0,0
 72-82,0,0,0.98,0,61.84,0,0,21.6,0,0,3.93,0,0.98,0,242.47,0,0.98,0,0,7.85,0,0,0,0
 84-94,0,1.06,2.12,0,48.85,0,0,13.81,0,0,1.06,0,1.06,0,139.13,0,0,0,0,3.19,0,0,0,0
 96-106,0,0,3.28,0,60.11,0,0,21.86,0,1.09,5.46,1.09,0,0,121.31,0,0,3.28,1.09,2.19,0,0,0,0
108-118,0,0,0.77,0.77,62.04,0,0.77,9.96,0,1.53,3.83,0,0,0,134.81,0,0,2.3,0.77,1.53,0.77,0.77,0.77,0
120,0,0,1.96,3.92,43.12,1.96,0,9.8,0,1.96,1.96,0,0,1.96,166.58,0,0,0,0,3.92,0,0,0,0
